Models,Spearman,Recovery
F,0.61,ARC
F,0.742,ARC
F,0.776,ARC
F,0.791,ARC
F,0.797,ARC
F,0.804,ARC
F,0.819,ARC
F,0.833,ARC
F,0.862,ARC
F,0.894,ARC
F,0.935,ARC
F,0.963,ARC
F,0.627,Packages
F,0.76,Packages
F,0.761,Packages
F,0.815,Packages
F,0.862,Packages
F,0.9,Packages
F,0.909,Packages
F,0.91,Packages
F,0.953,Packages
F,0.961,Packages
F,0.964,Packages
F,0.974,Packages
L,0.286,ARC
L,0.328,ARC
L,0.368,ARC
L,0.386,ARC
L,0.395,ARC
L,0.415,ARC
L,0.464,ARC
L,0.473,ARC
L,0.492,ARC
L,0.497,ARC
L,0.559,ARC
L,0.613,ARC
L,0.512,Packages
L,0.535,Packages
L,0.588,Packages
L,0.703,Packages
L,0.723,Packages
L,0.739,Packages
L,0.739,Packages
L,0.749,Packages
L,0.75,Packages
L,0.774,Packages
L,0.788,Packages
L,0.826,Packages
N,0.431,ARC
N,0.734,ARC
N,0.739,ARC
N,0.753,ARC
N,0.754,ARC
N,0.766,ARC
N,0.806,ARC
N,0.834,ARC
N,0.849,ARC
N,0.855,ARC
N,0.892,ARC
N,0.936,ARC
N,0.689,Packages
N,0.739,Packages
N,0.791,Packages
N,0.823,Packages
N,0.825,Packages
N,0.826,Packages
N,0.843,Packages
N,0.861,Packages
N,0.872,Packages
N,0.879,Packages
N,0.879,Packages
N,0.901,Packages
