Models,AUC,Recovery
F,0.753,ARC
F,0.81,ARC
F,0.865,ARC
F,0.882,ARC
F,0.894,ARC
F,0.896,ARC
F,0.923,ARC
F,0.966,ARC
F,0.967,ARC
F,0.978,ARC
F,0.992,ARC
F,1,ARC
F,0.708,Packages
F,0.791,Packages
F,0.837,Packages
F,0.962,Packages
F,0.965,Packages
F,0.984,Packages
F,0.991,Packages
F,0.998,Packages
F,1,Packages
F,1,Packages
F,1,Packages
F,1,Packages
L,0.432,ARC
L,0.444,ARC
L,0.626,ARC
L,0.671,ARC
L,0.738,ARC
L,0.744,ARC
L,0.759,ARC
L,0.775,ARC
L,0.792,ARC
L,0.811,ARC
L,0.855,ARC
L,0.964,ARC
L,0.625,Packages
L,0.708,Packages
L,0.833,Packages
L,0.887,Packages
L,0.896,Packages
L,0.923,Packages
L,0.928,Packages
L,0.934,Packages
L,0.939,Packages
L,0.962,Packages
L,0.976,Packages
L,1,Packages
N,0.771,ARC
N,0.842,ARC
N,0.86,ARC
N,0.861,ARC
N,0.875,ARC
N,0.877,ARC
N,0.883,ARC
N,0.907,ARC
N,0.936,ARC
N,0.955,ARC
N,0.987,ARC
N,0.994,ARC
N,0.718,Packages
N,0.796,Packages
N,0.833,Packages
N,0.871,Packages
N,0.875,Packages
N,0.882,Packages
N,0.901,Packages
N,0.905,Packages
N,0.913,Packages
N,0.927,Packages
N,0.954,Packages
N,0.958,Packages
