Models,Spearman,Recovery
L,0.479,ARC
L,0.289,ARC
L,0.502,ARC
L,0.492,ARC
L,0.526,ARC
L,0.53,ARC
L,0.445,ARC
L,0.53,ARC
L,0.711,ARC
L,0.738,ARC
L,0.496,ARC
L,0.036,ARC
N,0.554,ARC
N,0.446,ARC
N,0.666,ARC
N,0.482,ARC
N,0.626,ARC
N,0.501,ARC
N,0.56,ARC
N,0.641,ARC
N,0.822,ARC
N,0.665,ARC
N,0.431,ARC
N,0.215,ARC
F,0.541,ARC
F,0.53,ARC
F,0.593,ARC
F,0.474,ARC
F,0.491,ARC
F,0.404,ARC
F,0.602,ARC
F,0.522,ARC
F,0.827,ARC
F,0.583,ARC
F,0.422,ARC
F,0.329,ARC
L,0.456,Packages
L,0.419,Packages
L,0.785,Packages
L,0.604,Packages
L,0.731,Packages
L,0.544,Packages
L,0.553,Packages
L,0.876,Packages
L,0.724,Packages
L,0.54,Packages
L,0.614,Packages
L,0.639,Packages
N,0.582,Packages
N,0.396,Packages
N,0.764,Packages
N,0.621,Packages
N,0.846,Packages
N,0.615,Packages
N,0.635,Packages
N,0.923,Packages
N,0.8,Packages
N,0.776,Packages
N,0.693,Packages
N,0.601,Packages
F,0.573,Packages
F,0.37,Packages
F,0.768,Packages
F,0.634,Packages
F,0.853,Packages
F,0.572,Packages
F,0.658,Packages
F,0.892,Packages
F,0.785,Packages
F,0.612,Packages
F,0.641,Packages
F,0.675,Packages
