Models,AUC,Smell
L,0.801,ARC-SF
L,0.345,ARC-SF
N,0.858,ARC-SF
N,0.85,ARC-SF
F,1,ARC-SF
F,0.5,ARC-SF
L,0.932,ARC-CO
L,0.662,ARC-CO
L,0.127,ARC-CO
N,0.547,ARC-CO
N,0.644,ARC-CO
N,0.421,ARC-CO
F,0.891,ARC-CO
F,0.758,ARC-CO
F,0.631,ARC-CO
L,0.956,ARC-DC
L,0.994,ARC-DC
L,0.679,ARC-DC
L,0.977,ARC-DC
L,0.973,ARC-DC
L,1,ARC-DC
L,0.903,ARC-DC
N,0.952,ARC-DC
N,0.993,ARC-DC
N,0.938,ARC-DC
N,0.961,ARC-DC
N,0.959,ARC-DC
N,1,ARC-DC
N,0.98,ARC-DC
F,0.993,ARC-DC
F,1,ARC-DC
F,0.881,ARC-DC
F,0.954,ARC-DC
F,0.898,ARC-DC
F,1,ARC-DC
F,0.846,ARC-DC
L,0.771,ARC-LO
L,0.797,ARC-LO
L,0.595,ARC-LO
L,0.653,ARC-LO
L,0.98,ARC-LO
L,0.767,ARC-LO
L,0.776,ARC-LO
L,0.875,ARC-LO
L,0.928,ARC-LO
L,0.725,ARC-LO
L,0.615,ARC-LO
N,0.775,ARC-LO
N,0.839,ARC-LO
N,0.645,ARC-LO
N,0.74,ARC-LO
N,0.931,ARC-LO
N,0.801,ARC-LO
N,0.751,ARC-LO
N,0.857,ARC-LO
N,0.821,ARC-LO
N,0.95,ARC-LO
N,0.461,ARC-LO
F,0.687,ARC-LO
F,1,ARC-LO
F,0.626,ARC-LO
F,0.492,ARC-LO
F,0.813,ARC-LO
F,0.762,ARC-LO
F,0.742,ARC-LO
F,0.745,ARC-LO
F,0.964,ARC-LO
F,0.55,ARC-LO
F,0.269,ARC-LO
L,0.95,Pkg-DC
L,0.8,Pkg-DC
N,0.933,Pkg-DC
N,0.982,Pkg-DC
F,0.983,Pkg-DC
F,0.613,Pkg-DC
L,0.825,Pkg-LO
L,0.903,Pkg-LO
L,0.716,Pkg-LO
L,0.611,Pkg-LO
N,0.938,Pkg-LO
N,0.935,Pkg-LO
N,0.857,Pkg-LO
N,0.777,Pkg-LO
F,0.938,Pkg-LO
F,0.709,Pkg-LO
F,0.87,Pkg-LO
F,0.638,Pkg-LO
