Models,AUC,Smell
L,1,ARC-SF
L,0.982,ARC-SF
L,0.963,ARC-SF
L,0.897,ARC-SF
L,0.996,ARC-SF
L,1,ARC-SF
L,1,ARC-SF
L,1,ARC-SF
L,0.947,ARC-SF
L,0.985,ARC-SF
N,1,ARC-SF
N,0.956,ARC-SF
N,0.945,ARC-SF
N,0.937,ARC-SF
N,0.996,ARC-SF
N,1,ARC-SF
N,1,ARC-SF
N,1,ARC-SF
N,0.928,ARC-SF
N,0.866,ARC-SF
F,1,ARC-SF
F,1,ARC-SF
F,0.951,ARC-SF
F,0.966,ARC-SF
F,0.993,ARC-SF
F,1,ARC-SF
F,1,ARC-SF
F,1,ARC-SF
F,0.909,ARC-SF
F,0.942,ARC-SF
L,0.96,ARC-CO
L,0.993,ARC-CO
L,1,ARC-CO
L,1,ARC-CO
L,1,ARC-CO
L,1,ARC-CO
L,1,ARC-CO
L,1,ARC-CO
L,1,ARC-CO
L,0.961,ARC-CO
L,0.982,ARC-CO
L,0.98,ARC-CO
N,0.964,ARC-CO
N,0.988,ARC-CO
N,1,ARC-CO
N,1,ARC-CO
N,1,ARC-CO
N,1,ARC-CO
N,1,ARC-CO
N,1,ARC-CO
N,1,ARC-CO
N,0.977,ARC-CO
N,0.989,ARC-CO
N,0.985,ARC-CO
F,0.97,ARC-CO
F,1,ARC-CO
F,1,ARC-CO
F,1,ARC-CO
F,1,ARC-CO
F,1,ARC-CO
F,1,ARC-CO
F,1,ARC-CO
F,1,ARC-CO
F,0.98,ARC-CO
F,0.989,ARC-CO
F,1,ARC-CO
L,0.937,ARC-DC
L,0.981,ARC-DC
L,0.949,ARC-DC
L,1,ARC-DC
L,1,ARC-DC
L,1,ARC-DC
L,1,ARC-DC
L,1,ARC-DC
L,0.958,ARC-DC
L,0.987,ARC-DC
L,0.653,ARC-DC
L,0.979,ARC-DC
N,0.929,ARC-DC
N,0.943,ARC-DC
N,0.96,ARC-DC
N,1,ARC-DC
N,1,ARC-DC
N,1,ARC-DC
N,1,ARC-DC
N,1,ARC-DC
N,0.964,ARC-DC
N,0.987,ARC-DC
N,0.653,ARC-DC
N,0.952,ARC-DC
F,0.981,ARC-DC
F,1,ARC-DC
F,1,ARC-DC
F,0.972,ARC-DC
F,1,ARC-DC
F,1,ARC-DC
F,1,ARC-DC
F,1,ARC-DC
F,0.948,ARC-DC
F,0.99,ARC-DC
F,0.865,ARC-DC
F,0.972,ARC-DC
L,0.81,ARC-LO
L,0.902,ARC-LO
L,0.685,ARC-LO
L,0.838,ARC-LO
L,0.998,ARC-LO
L,0.908,ARC-LO
L,0.914,ARC-LO
L,0.875,ARC-LO
L,0.991,ARC-LO
L,0.76,ARC-LO
L,0.954,ARC-LO
L,0.963,ARC-LO
N,0.788,ARC-LO
N,0.895,ARC-LO
N,0.741,ARC-LO
N,0.892,ARC-LO
N,0.977,ARC-LO
N,0.898,ARC-LO
N,0.871,ARC-LO
N,0.856,ARC-LO
N,0.983,ARC-LO
N,0.826,ARC-LO
N,0.958,ARC-LO
N,0.929,ARC-LO
F,0.75,ARC-LO
F,1,ARC-LO
F,0.882,ARC-LO
F,0.795,ARC-LO
F,0.996,ARC-LO
F,0.904,ARC-LO
F,0.894,ARC-LO
F,0.813,ARC-LO
F,0.975,ARC-LO
F,0.906,ARC-LO
F,0.972,ARC-LO
F,0.931,ARC-LO
L,1,Pkg-DC
L,1,Pkg-DC
L,1,Pkg-DC
L,1,Pkg-DC
L,1,Pkg-DC
L,1,Pkg-DC
L,1,Pkg-DC
L,0.994,Pkg-DC
L,1,Pkg-DC
L,1,Pkg-DC
L,1,Pkg-DC
L,0.967,Pkg-DC
N,1,Pkg-DC
N,1,Pkg-DC
N,0.962,Pkg-DC
N,1,Pkg-DC
N,1,Pkg-DC
N,1,Pkg-DC
N,1,Pkg-DC
N,1,Pkg-DC
N,1,Pkg-DC
N,0.985,Pkg-DC
N,0.961,Pkg-DC
N,0.973,Pkg-DC
F,1,Pkg-DC
F,1,Pkg-DC
F,0.962,Pkg-DC
F,1,Pkg-DC
F,1,Pkg-DC
F,1,Pkg-DC
F,1,Pkg-DC
F,1,Pkg-DC
F,1,Pkg-DC
F,0.999,Pkg-DC
F,1,Pkg-DC
F,0.985,Pkg-DC
L,0.947,Pkg-LO
L,0.978,Pkg-LO
L,0.993,Pkg-LO
L,0.977,Pkg-LO
L,1,Pkg-LO
L,1,Pkg-LO
L,1,Pkg-LO
L,1,Pkg-LO
L,0.982,Pkg-LO
L,0.983,Pkg-LO
L,0.972,Pkg-LO
L,0.75,Pkg-LO
N,0.972,Pkg-LO
N,1,Pkg-LO
N,1,Pkg-LO
N,1,Pkg-LO
N,1,Pkg-LO
N,0.865,Pkg-LO
N,0.996,Pkg-LO
N,0.928,Pkg-LO
N,0.992,Pkg-LO
N,0.95,Pkg-LO
N,0.972,Pkg-LO
N,1,Pkg-LO
F,0.969,Pkg-LO
F,1,Pkg-LO
F,1,Pkg-LO
F,1,Pkg-LO
F,0.98,Pkg-LO
F,0.977,Pkg-LO
F,1,Pkg-LO
F,1,Pkg-LO
F,0.989,Pkg-LO
F,1,Pkg-LO
F,0.984,Pkg-LO
F,1,Pkg-LO
