coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,4,21,18,5,536,1,0,1,0,62,2,96,145,9,8,0,88,16,72,1,0,1,0,0.01,
12,7,47,7,14,183,0,0,1,0,39,7,70,25,3,9,2,57,5,52,0,0,1,0,0.129,
0,1,4,1,1,33,0,0,1,0,4,1,0,9,2,5,2,31,3,28,0,0,1,1,0.375,
0,2,33,3,2,146,0,0,1,0,30,6,56,6,1,6,0,47,5,42,0,0,1,0,0,
0,4,34,1,4,153,1,0,1,0,22,2,93,43,3,6,0,43,4,39,1,0,1,0,0,
1,0,1,7,1,264,0,0,1,0,17,2,93,64,7,7,9,77,16,61,0,0,1,0,0.29,
0,1,7,3,1,42,0,0,1,0,11,3,40,9,1,3,0,17,4,13,0,0,1,0,0,
4,4,56,1,5,256,0,0,1,0,48,11,50,16,2,8,11,139,4,135,0,0,1,0,0.142,
2,5,13,1,6,177,0,0,1,0,47,6,76,17,1,3,0,60,2,58,0,0,1,1,0.375,
0,2,8,0,2,119,1,0,1,0,13,3,90,32,5,5,0,38,12,26,1,0,1,0,0,
0,3,11,4,9,196,1,0,1,0,35,1,91,47,9,3,0,52,12,40,1,0,1,0,0,
0,4,19,15,6,163,0,0,1,0,27,3,77,34,20,12,3,224,93,131,0,0,1,1,0.375,
2,3,14,6,6,363,0,0,1,0,42,6,86,19,4,8,14,182,10,172,0,0,1,1,0.375,
0,4,18,3,4,42,0,0,1,0,14,3,19,10,1,5,0,25,1,24,0,0,1,0,0,
0,4,30,0,5,39,0,0,1,0,3,4,73,10,1,2,0,9,1,8,0,0,1,0,0,
0,4,29,2,7,218,1,0,1,0,36,9,91,36,61,9,1,328,212,116,0,0,1,1,0.375,
0,2,8,0,2,77,1,0,1,0,8,1,88,20,5,3,0,33,10,23,1,0,1,0,0,
0,3,30,0,3,67,0,0,1,0,12,1,97,14,3,2,0,17,4,13,0,0,1,0,0,
0,4,16,3,6,178,0,0,1,0,31,3,51,36,1,6,0,55,1,54,0,0,1,0,0,
0,10,44,2,12,164,0,0,1,0,7,3,0,2,10,1,0,50,16,34,0,0,1,0,0.04,
10,43,195,25,57,1246,0,0,1,1,247,44,75,7,21,25,21,702,65,637,0,0,1,1,0.375,
0,1,26,0,1,30,0,0,1,0,13,1,0,5,2,6,0,17,2,15,0,0,1,0,0,
0,5,39,1,6,59,1,0,1,0,15,3,69,15,4,9,0,27,5,22,1,0,1,0,0,
0,1,3,0,1,31,1,0,0,0,9,1,0,9,0,1,0,10,0,10,1,0,0,0,0,
0,4,27,0,6,77,1,0,1,0,14,2,46,26,4,1,0,22,5,17,1,0,1,0,0,
0,1,6,2,1,88,0,0,1,0,11,2,73,13,5,4,3,29,6,23,0,0,1,0,0.14,
0,3,13,7,4,125,1,0,1,0,17,1,89,37,1,7,0,23,1,22,1,0,1,0,0,
2,27,169,1,30,401,0,0,1,0,41,7,95,75,5,11,0,63,9,54,0,0,1,0,0.068,
0,1,5,0,2,63,0,0,1,0,8,5,72,17,2,2,0,20,3,17,0,0,1,0,0,
0,1,24,0,1,65,0,0,0,0,13,1,75,16,0,3,0,23,0,23,0,0,0,0,0,
0,1,2,3,1,57,1,0,1,0,8,3,70,13,4,5,0,22,5,17,0,0,1,0,0.048,
0,2,21,1,2,184,1,0,1,0,43,5,85,31,4,9,1,74,10,64,1,0,1,0,0.176,
0,1,24,2,4,301,1,0,1,0,38,1,93,72,1,7,8,90,3,87,1,0,1,0,0.163,
2,2,52,1,3,116,1,0,1,0,16,4,66,12,2,6,15,90,2,88,1,0,0,0,0.19,
0,2,14,8,2,209,0,0,1,0,29,3,82,46,3,12,6,80,3,77,0,0,1,0,0.132,
0,1,26,5,2,126,0,0,1,0,15,1,80,29,2,9,2,45,2,43,0,0,1,0,0.077,
