coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
2,2,12,0,2,63,1,0,1,0,17,2,66,7,10,13,2,88,20,68,1,0,1,0,0.043,
0,3,58,2,3,119,0,0,1,0,45,1,0,28,1,16,0,48,1,47,0,0,1,0,0,
0,1,3,0,1,50,1,0,0,0,1,1,85,14,3,0,0,8,4,4,1,0,0,0,0,
6,6,120,1,6,340,0,0,1,0,57,18,0,1,1,5,8,124,12,112,0,0,1,0,0.113,
0,2,10,1,2,156,1,0,1,0,22,3,88,42,3,10,0,39,3,36,1,0,1,0,0,
0,2,7,3,2,173,0,0,1,0,21,1,86,43,20,5,0,66,34,32,0,0,1,0,0,
0,3,56,0,4,360,0,0,1,0,45,5,65,30,6,12,9,131,8,123,0,0,1,0,0.179,
0,1,2,0,1,393,0,0,0,0,31,1,93,87,0,5,0,48,0,48,0,0,0,0,0,
0,1,2,0,1,87,1,0,1,0,16,4,83,23,1,6,0,27,6,21,1,0,1,0,0,
0,1,1,0,1,91,0,0,1,0,23,4,61,14,6,13,43,239,12,227,0,0,1,0,0.26,
0,1,4,0,2,110,1,1,1,0,23,2,91,33,1,17,0,44,2,42,1,1,1,0,0,
0,2,8,0,3,45,0,0,1,0,4,1,44,10,3,1,0,10,3,7,0,0,1,0,0,
0,1,1,1,1,128,1,0,1,0,14,3,80,24,3,6,0,37,4,33,1,0,1,0,0,
0,2,10,0,2,342,0,0,1,0,32,1,90,57,4,10,8,93,5,88,0,0,1,0,0.131,
0,1,9,0,1,83,0,0,1,0,9,2,71,12,1,4,4,50,1,49,0,0,1,0,0.138,
10,15,242,14,20,1614,1,0,1,0,149,21,73,27,18,26,31,373,50,323,1,0,1,0,0.149,
0,1,3,0,1,118,0,0,1,0,18,1,91,31,3,8,0,34,4,30,0,0,1,0,0,
4,5,11,0,6,224,1,0,1,0,22,8,88,45,2,7,0,46,3,43,1,0,1,0,0,
0,1,21,0,1,94,0,0,1,0,18,3,82,20,1,3,0,29,1,28,0,0,1,0,0,
0,4,12,0,8,270,1,0,1,0,47,1,93,63,1,10,5,64,2,62,1,0,1,0,0.135,
7,10,119,16,14,2158,1,0,1,0,229,6,93,33,17,42,2,366,33,333,1,0,1,0,0.011,
0,2,42,0,2,84,0,0,1,0,19,3,77,20,1,9,2,30,1,29,0,0,1,0,0.118,
2,2,6,0,2,110,1,0,1,0,13,4,81,15,2,4,1,28,4,24,1,0,1,0,0.061,
0,1,1,0,2,107,1,0,0,0,22,3,76,26,1,9,0,31,1,30,1,0,0,0,0,
0,1,4,0,1,79,0,0,1,0,15,2,66,15,1,2,5,25,1,24,0,0,1,0,0.286,
7,19,62,6,28,1058,0,0,1,0,107,19,94,47,28,20,17,348,46,302,0,0,1,1,0.111,
0,1,21,0,3,318,1,1,1,0,16,1,65,79,2,7,0,20,2,18,1,1,1,0,0,
0,3,47,1,4,91,0,0,1,0,15,2,75,24,6,9,0,35,6,29,0,0,1,0,0,
0,1,11,0,1,46,0,0,1,0,10,2,66,10,1,5,0,25,1,24,0,0,1,0,0,
0,1,1,0,1,13,0,0,1,0,4,2,50,3,1,1,0,7,1,6,0,0,1,0,0,
0,1,1,1,2,199,0,0,1,0,28,3,40,43,1,9,0,52,1,51,0,0,1,0,0,
0,1,26,1,1,52,1,0,1,0,6,2,53,15,3,5,0,17,4,13,1,0,1,0,0,
0,3,4,1,4,352,0,0,1,0,19,1,96,99,6,5,0,48,10,38,0,0,1,0,0,
0,3,10,0,3,262,0,0,1,0,33,10,75,33,2,13,0,61,2,59,0,0,1,0,0,
0,3,21,1,5,191,0,0,1,0,29,1,9,41,2,12,0,34,2,32,0,0,1,0,0.08,
0,2,8,1,5,253,0,0,1,0,30,4,55,9,3,11,12,84,8,76,0,0,1,0,0.22,
0,1,1,0,2,335,0,0,1,0,32,2,80,76,1,6,0,76,2,74,0,0,1,0,0,
0,1,3,0,2,41,0,0,1,0,7,3,0,3,1,4,2,33,1,32,0,0,1,1,0.202,
0,2,26,0,2,52,0,0,1,0,13,2,70,9,1,10,1,41,2,39,0,0,1,0,0.045,
0,3,19,1,5,250,0,0,1,0,33,3,69,50,1,9,2,54,1,53,0,0,1,0,0.069,
12,15,286,0,15,201,0,0,1,0,107,49,43,14,2,8,16,177,10,167,0,0,1,1,0.111,
