Models,AUC,Smell
N,0.989251122135601,ARC-CO
L,0.982282069454287,ARC-CO
F,0.987715568154973,ARC-CO
N,0.98780487804878,ARC-DC
L,0.98780487804878,ARC-DC
F,0.990391722099039,ARC-DC
N,0.871892119679729,ARC-LO
L,0.914032869785082,ARC-LO
F,0.897176569742942,ARC-LO
N,1,ARC-SF
L,1,ARC-SF
F,1,ARC-SF
N,0.977911993097498,ARC-CO
L,0.961518550474547,ARC-CO
F,0.979810181190682,ARC-CO
N,0.964975845410628,ARC-DC
L,0.958937198067633,ARC-DC
F,0.968397745571659,ARC-DC
N,0.898059964726631,ARC-LO
L,0.908641975308642,ARC-LO
F,0.913227513227512,ARC-LO
N,0.996774193548387,ARC-SF
L,0.996774193548387,ARC-SF
F,0.993548387096774,ARC-SF
N,0.964861751152074,ARC-CO
L,0.960637480798771,ARC-CO
F,0.973310291858679,ARC-CO
N,0.929601990049751,ARC-DC
L,0.937810945273632,ARC-DC
F,0.974129353233831,ARC-DC
N,0.78875968992248,ARC-LO
L,0.810077519379845,ARC-LO
F,0.759108527131783,ARC-LO
N,1,ARC-SF
L,1,ARC-SF
F,1,ARC-SF
