coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
5,5,135,2,5,165,0,0,1,1,36,11,100,1,8,10,0,65,24,41,0,0,1,1,0,
2,2,54,0,2,65,0,0,1,0,20,7,0,3,1,3,1,26,1,25,0,0,1,0,0.071,
0,2,7,2,4,340,0,0,0,0,33,1,82,43,0,4,0,55,8,47,0,0,0,0,0,
11,12,44,1,19,338,0,0,0,0,50,8,73,31,1,4,26,129,11,118,0,0,0,0,0.286,
10,11,126,2,26,853,0,0,1,0,76,27,84,23,8,5,23,318,83,235,0,0,1,0,0.127,
1,1,8,0,2,24,0,0,1,0,4,1,60,5,3,2,15,34,8,26,0,0,1,0,0.469,
3,3,81,0,3,59,0,0,1,0,17,5,0,3,4,3,2,24,4,20,0,0,1,0,0.143,
3,10,110,1,20,392,0,0,1,1,54,13,81,33,9,7,21,215,47,168,0,0,1,1,0.153,
3,3,81,0,3,85,0,0,1,0,23,11,0,3,1,4,3,35,1,34,0,0,1,0,0.146,
2,2,16,3,8,148,0,0,0,0,14,6,36,15,0,4,14,161,3,158,0,0,0,0,0.15,
5,5,35,0,10,264,0,0,0,0,42,13,60,18,2,5,9,88,7,81,0,0,0,0,0.17,
0,1,8,0,2,170,0,0,0,0,17,1,88,38,0,3,2,49,4,45,0,0,0,0,0.075,
9,2,26,0,16,1333,0,0,0,0,118,26,83,12,0,6,76,300,4,296,0,0,0,0,0.332,
0,1,7,0,2,26,0,0,0,0,7,1,0,6,0,2,0,15,0,15,0,0,0,0,0,
4,4,108,4,4,137,0,0,1,0,43,10,43,13,1,6,6,58,3,55,0,0,1,0,0.192,
11,11,174,4,16,1102,0,0,0,0,145,21,65,13,0,6,15,228,2,226,0,0,0,1,0.118,
8,10,78,7,29,1135,0,0,1,1,130,11,62,17,18,10,48,377,50,327,0,0,1,1,0.194,
13,17,126,5,31,953,0,0,0,1,127,19,66,6,4,14,9,227,28,199,0,0,0,1,0.073,
0,1,19,1,1,34,0,0,0,0,3,2,77,9,4,0,6,88,11,77,0,0,0,0,0.148,
3,3,12,0,7,242,0,0,0,0,41,13,87,18,1,6,8,89,8,81,0,0,0,0,0.154,
3,0,6,4,4,337,0,0,0,0,39,6,93,34,0,4,2,80,11,69,0,0,0,0,0.046,
0,7,33,12,24,1375,0,0,1,1,166,19,63,48,9,7,79,400,99,301,0,0,1,1,0.272,
2,2,54,0,2,38,0,0,1,0,11,7,0,3,1,3,1,21,2,19,0,0,1,0,0.087,
0,1,5,0,2,26,0,0,0,0,9,1,50,3,0,0,0,0,0,0,0,0,0,0,0,
2,5,28,0,8,612,0,0,0,0,60,4,83,63,4,5,17,190,19,171,0,0,0,0,0.149,
108,83,1232,52,199,5848,0,0,1,1,826,171,55,11,31,20,222,1918,468,1450,0,0,1,1,0.188,
2,0,2,0,2,81,0,0,0,1,31,13,0,3,0,7,6,80,0,80,0,0,0,1,0.13,
8,10,195,1,15,324,0,0,0,1,52,17,75,22,1,7,11,93,1,92,0,0,0,1,0.163,
1,2,10,0,4,65,0,0,1,0,7,1,80,15,4,4,6,72,12,60,0,0,1,0,0.141,
3,3,81,0,3,88,0,0,1,0,24,11,0,3,1,4,2,32,1,31,0,0,1,0,0.111,
12,18,140,0,33,792,0,0,0,1,159,24,43,14,1,14,22,322,4,318,0,0,0,1,0.119,
2,2,10,2,2,61,0,0,0,0,15,5,33,5,1,3,18,115,3,112,0,0,0,0,0.266,
3,5,24,6,14,847,0,0,1,0,69,7,72,18,6,6,4,144,35,109,0,0,1,1,0.048,
8,1,11,7,22,561,0,0,0,0,35,7,72,22,0,3,18,184,15,169,0,0,0,0,0.166,
2,6,66,2,8,330,0,0,0,0,51,7,0,16,4,6,4,153,7,146,0,0,0,0,0.042,
7,9,55,0,13,92,0,0,1,0,10,5,76,13,7,1,3,50,11,39,0,0,1,0,0.107,
