coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,2,9,0,2,70,0,1,1,0,9,1,86,11,1,7,2,20,1,19,0,1,1,0,0.103,0.166666667
8,6,52,2,8,82,0,0,1,0,24,4,16,7,1,5,0,35,2,33,0,0,1,1,0.119,0
8,40,208,9,47,999,0,0,1,1,131,3,79,41,6,17,4,172,20,152,0,0,1,1,0.066,0.044444444
0,1,9,0,1,53,0,1,1,0,15,1,93,5,3,3,0,27,8,19,0,1,1,0,0,0
0,12,72,2,14,189,0,0,1,0,25,2,40,8,3,9,2,51,14,37,0,1,1,1,0.169,0.072727273
0,6,40,6,8,382,0,1,0,0,33,1,59,71,1,11,0,46,1,45,0,1,1,0,0.181,0
5,16,99,4,18,41,0,0,1,0,13,10,0,2,13,7,1,104,50,54,0,0,1,1,0.084,0.018867925
0,1,2,0,2,87,0,0,1,0,11,1,43,12,1,2,0,17,1,16,0,0,1,0,0,0
0,16,83,6,19,44,0,0,1,0,3,1,33,4,3,2,0,8,3,5,0,0,1,0,0,0
0,3,23,0,3,25,0,0,1,0,10,1,0,3,3,7,0,36,5,31,0,0,1,1,0.127,0
0,3,12,0,3,128,0,0,1,0,14,1,59,22,2,3,2,26,5,21,0,0,1,0,0.192,0.133333333
0,3,15,1,3,404,0,0,1,0,20,1,69,55,4,2,2,47,11,36,0,0,1,0,0.065,0.078431373
0,9,61,0,9,167,0,0,1,1,33,8,50,2,26,7,9,340,185,155,0,0,1,1,0.127,0.05027933
0,5,33,2,6,135,0,0,1,0,30,4,33,7,12,7,2,142,30,112,0,0,1,0,0.09,0.02739726
0,2,19,0,2,202,0,0,1,0,20,3,100,39,12,4,14,169,85,84,0,0,1,1,0.127,0.14213198
4,5,49,0,5,95,0,0,1,0,37,3,0,3,3,6,3,65,7,58,0,0,1,1,0.111,0.084507042
23,47,280,14,69,1756,0,1,1,1,190,3,94,160,10,20,35,406,58,348,0,1,1,1,0.128,0.147058824
0,1,5,0,1,81,1,0,1,0,5,1,25,6,5,1,2,20,8,12,1,0,0,0,0.267,0.166666667
140,149,961,2,150,4203,0,0,1,1,251,17,85,71,21,13,136,996,195,801,0,0,1,0,0.157,0.214511041
0,4,12,2,5,173,0,1,0,0,21,1,61,33,1,6,0,48,1,47,0,1,1,0,0,0
0,1,9,0,1,152,0,0,1,0,9,1,76,16,2,1,5,29,4,25,0,0,0,0,0.313,0.256410256
0,2,7,1,2,107,0,1,0,0,11,1,90,16,0,6,2,24,0,24,0,0,1,0,0.174,0.142857143
0,73,418,2,75,16612,0,0,1,0,0,1,0,0,5,4,728,2293,17,2276,0,0,1,0,0.367,0.388370232
0,1,6,0,1,85,0,0,0,0,1,1,76,15,2,0,0,8,3,5,0,0,0,0,0,0
0,4,18,0,4,230,0,1,0,0,27,1,94,36,0,7,0,34,0,34,0,1,1,1,0.169,0
0,4,20,3,4,601,0,1,1,0,40,1,87,121,7,11,5,72,10,62,0,1,1,0,0.104,0.12195122
0,3,10,0,3,257,1,1,1,0,9,2,83,51,5,1,0,24,10,14,1,1,1,0,0.118,0
0,2,4,1,2,79,0,1,0,0,5,1,50,10,1,1,0,12,1,11,0,1,1,0,0,0
130,134,809,0,134,1069,0,0,0,0,58,16,97,24,10,0,48,365,117,248,0,0,0,0,0.121,0.20824295
40,55,359,6,69,2203,0,1,1,1,242,17,83,23,13,22,53,612,57,555,0,1,1,1,0.109,0.147632312
