coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
14,25,153,6,37,522,0,0,1,0,86,6,60,12,5,9,10,197,10,187,0,0,1,0,0.092,
0,7,37,2,11,655,0,1,1,0,44,1,89,118,7,14,5,78,9,69,0,1,1,0,0.118,
0,1,15,1,1,75,0,0,1,0,14,1,87,8,3,2,0,20,3,17,0,0,1,1,0.148,
0,5,24,0,5,61,0,0,1,0,17,1,83,10,1,3,0,22,1,21,0,0,1,0,0,
0,1,27,0,3,144,0,0,0,0,2,2,80,32,1,1,0,9,3,6,0,0,0,0,0,
0,1,16,0,1,43,0,1,0,0,8,1,28,9,4,1,0,15,4,11,0,1,1,0,0,
0,1,4,0,1,39,0,0,0,0,1,1,0,6,4,0,0,8,6,2,0,0,0,0,0,
2,3,55,2,5,21,0,0,1,0,5,4,0,2,3,2,0,15,5,10,0,0,1,0,0.049,
0,7,55,5,11,341,1,0,1,0,53,4,0,3,15,10,22,248,69,179,1,0,1,0,0.132,
2,21,171,6,24,905,0,1,1,1,84,2,82,57,3,19,4,108,12,96,0,0,1,0,0.243,
0,7,31,1,8,148,0,1,1,1,24,2,82,18,24,4,1,149,102,47,0,1,1,1,0.015,
0,5,42,4,5,74,0,1,0,0,8,1,85,8,0,5,6,24,0,24,0,1,0,0,0.316,
0,4,50,0,7,80,1,1,1,0,22,1,87,9,1,13,4,40,1,39,1,1,1,0,0.174,
0,5,53,3,5,82,0,1,1,0,9,1,89,8,2,3,6,28,2,26,0,1,1,0,0.229,
0,3,14,0,3,161,0,0,1,0,13,1,69,33,1,3,0,17,2,15,0,0,1,0,0.16,
0,8,31,1,10,148,1,0,1,0,26,1,81,24,5,7,0,37,5,32,1,0,1,0,0,
0,1,27,1,1,110,0,0,1,0,11,1,43,13,2,2,0,20,6,14,0,0,1,0,0,
0,1,14,1,2,36,0,0,1,0,13,1,33,6,2,4,0,17,2,15,0,0,1,0,0.123,
13,13,210,7,25,694,0,0,1,1,102,9,40,9,19,12,5,208,73,135,0,0,1,1,0.063,
0,6,42,2,7,391,0,1,1,0,42,5,83,21,10,6,26,147,44,103,0,1,1,0,0.364,
0,1,10,1,4,126,0,0,1,0,12,1,52,22,1,2,2,21,2,19,0,0,1,0,0.154,
0,8,55,1,11,74,1,1,1,0,22,1,89,8,1,10,4,38,1,37,1,1,1,0,0.148,
0,1,2,0,4,40,0,0,1,0,0,2,75,11,9,8,4,129,30,99,0,0,1,1,0.156,
0,43,243,2,46,9322,0,0,1,0,0,1,0,0,5,2,254,1035,11,1024,0,0,1,0,0.323,
13,25,191,1,39,253,0,0,1,0,66,8,81,8,6,10,8,133,20,113,0,0,1,1,0.156,
0,5,42,4,9,67,0,1,1,0,5,1,87,8,2,2,2,19,4,15,0,1,1,0,0.125,
6,10,42,0,19,112,0,0,1,0,21,9,0,10,13,6,2,77,35,42,0,0,1,1,0.143,
0,18,95,2,30,409,0,0,1,0,46,1,84,57,3,8,17,106,14,92,0,0,1,0,0.239,
9,18,143,3,31,311,1,0,1,0,69,6,0,7,10,15,18,237,57,180,0,0,1,1,0.156,
0,8,52,0,11,220,0,1,0,0,25,1,25,36,1,7,0,36,1,35,0,1,1,0,0.332,
10,35,214,2,44,352,0,1,1,0,35,4,50,12,6,10,4,79,15,64,0,1,1,0,0.177,
6,33,201,2,42,635,0,0,1,0,67,2,87,94,2,12,1,80,2,78,0,0,1,0,0.022,
0,2,5,0,3,88,0,1,0,0,12,1,63,13,1,4,0,35,1,34,0,1,1,0,0,
2,7,60,2,20,293,0,0,1,1,61,5,0,7,22,9,19,219,105,114,0,0,1,1,0.084,
9,18,136,2,29,436,0,0,1,0,79,4,61,5,4,11,10,197,8,189,0,1,1,1,0.172,
12,15,85,4,18,362,0,1,1,0,37,3,89,22,2,8,12,81,4,77,0,0,1,1,0.131,
10,24,154,1,50,245,0,0,1,0,43,17,0,4,17,11,24,343,170,173,0,0,1,1,0.143,
0,1,3,0,2,64,0,1,0,0,10,1,0,7,1,3,2,23,1,22,0,0,1,0,0.076,
0,1,9,0,4,236,0,1,1,0,11,1,71,13,4,4,24,84,30,54,0,1,1,0,0.332,
0,6,39,1,10,230,0,0,1,0,20,1,87,40,7,2,4,46,13,33,0,0,1,1,0.156,
0,7,62,5,10,659,0,1,1,0,43,1,89,124,6,12,5,75,8,67,0,1,1,0,0.115,
115,116,771,3,135,1811,0,0,1,0,91,14,96,21,11,1,18,379,126,253,0,0,1,0,0.091,
0,5,36,0,9,182,0,0,1,0,17,1,48,22,4,6,0,30,8,22,0,0,1,0,0.082,
0,1,3,2,4,150,1,0,1,0,26,1,81,26,5,9,0,37,5,32,1,0,1,0,0,
0,3,17,0,6,229,1,1,0,0,8,2,80,45,6,0,0,31,9,22,1,1,0,0,0,
