Models,AUC,Smell
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,0.653846153846154,ARC-DC
L,0.653846153846154,ARC-DC
F,0.865384615384615,ARC-DC
N,0.856459330143541,ARC-LO
L,0.875598086124402,ARC-LO
F,0.794258373205742,ARC-LO
N,0.92822966507177,ARC-SF
L,0.947368421052631,ARC-SF
F,0.923444976076555,ARC-SF
N,0.988888888888889,ARC-CO
L,0.993333333333333,ARC-CO
F,1,ARC-CO
N,0.943396226415094,ARC-DC
L,0.981132075471698,ARC-DC
F,1,ARC-DC
N,0.895470383275262,ARC-LO
L,0.902439024390244,ARC-LO
F,1,ARC-LO
N,0.956521739130435,ARC-SF
L,0.982336956521739,ARC-SF
F,1,ARC-SF
