coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
35,48,460,1,62,2495,0,0,1,0,118,17,16,6,10,5,20,381,215,166,0,0,1,0,0.109,0.095011876
218,178,2305,47,280,14444,0,0,1,1,418,27,96,18,11,14,51,1009,323,686,0,0,1,1,0.102,0.091809181
20,29,252,7,43,1538,0,0,1,0,200,15,0,3,11,7,76,547,257,290,0,0,1,0,0.222,0.217453505
2,30,230,11,34,602,0,0,1,1,34,2,98,67,14,2,1,92,55,37,0,0,1,0,0.02,0.021276596
351,283,3200,55,428,6042,0,0,1,0,764,61,83,27,9,9,175,1132,208,924,0,0,1,0,0.191,0.236167341
8,11,168,4,22,614,0,0,1,0,151,9,0,3,1,7,1,186,3,183,0,0,1,0,0.011,0.010638298
8,9,111,1,10,324,0,0,1,0,78,8,59,11,6,1,23,216,41,175,0,0,1,0,0.173,0.175572519
0,12,119,5,12,219,0,0,0,0,22,1,22,39,0,2,9,161,25,136,0,0,0,0,0.118,0.100558659
19,23,305,19,34,783,0,0,1,0,108,12,0,2,7,8,31,240,67,173,0,0,1,0,0.195,0.205298013
0,1,7,1,2,228,0,0,1,0,11,1,71,13,3,3,37,145,28,117,0,0,1,0,0.336,0.337899543
12,8,74,3,24,897,0,0,1,0,80,5,81,24,4,6,28,192,55,137,0,0,1,0,0.229,0.225806452
11,10,141,2,16,323,0,0,1,0,49,6,0,16,3,5,8,84,10,74,0,0,1,0,0.14,0.16
10,21,190,7,33,1011,0,0,1,1,103,16,0,3,17,3,16,371,148,223,0,0,1,1,0.083,0.079404467
44,60,428,8,87,903,0,0,1,0,100,11,80,45,9,6,18,293,142,151,0,0,1,0,0.126,0.109422492
13,9,61,0,29,164,0,0,1,0,19,9,0,4,5,2,10,68,34,34,0,0,1,0,0.225,0.227272727
297,224,2124,38,411,14548,0,0,1,1,513,36,61,5,8,13,59,1041,264,777,0,0,1,1,0.093,0.101811907
16,21,176,16,48,1504,0,0,1,0,181,11,78,24,9,6,72,504,233,271,0,0,1,0,0.194,0.222222222
8,35,125,2,45,793,0,0,1,0,47,2,7,2,11,5,1,99,48,51,0,0,1,1,0.018,0.01980198
203,184,1513,30,359,4695,0,0,1,0,611,38,0,13,7,10,111,940,171,769,0,0,1,0,0.172,0.191049914
38,49,299,0,72,449,0,0,1,0,91,14,50,12,2,7,16,156,40,116,0,0,1,0,0.168,0.170212766
7,7,67,0,23,470,0,0,0,0,58,6,0,14,0,1,11,164,24,140,0,0,0,0,0.168,0.11827957
9,10,60,2,25,180,0,0,1,0,50,10,75,11,6,1,14,134,31,103,0,0,1,0,0.148,0.172839506
40,39,395,10,73,1123,0,0,1,0,144,15,26,14,8,8,34,280,74,206,0,0,1,0,0.159,0.195402299
0,4,38,2,10,325,0,0,1,0,32,3,71,13,3,3,37,146,28,118,0,0,1,0,0.284,0.336363636
6,11,86,9,23,914,0,0,1,0,81,4,53,5,3,5,28,189,54,135,0,0,1,0,0.219,0.228571429
13,14,111,2,25,424,0,0,1,0,51,6,48,22,4,6,7,86,9,77,0,0,1,0,0.16,0.14
0,3,16,0,3,56,0,0,0,0,21,1,46,7,0,5,0,33,0,33,0,0,0,0,0,0
2,19,171,7,43,862,0,0,1,1,99,9,33,9,13,3,16,354,112,242,0,0,1,1,0.054,0.082901554
63,88,648,1,104,1565,0,0,1,0,198,27,74,46,9,8,35,484,194,290,0,0,1,0,0.128,0.126353791
0,1,3,1,1,44,0,0,1,0,4,1,0,7,6,2,10,69,36,33,0,0,1,0,0.204,0.224719101
61,53,586,1,80,1546,0,0,1,0,207,19,0,0,7,7,45,375,135,240,0,0,1,0,0.171,0.193548387
0,19,85,6,23,745,0,0,1,1,49,1,98,79,12,5,1,108,52,56,0,0,1,1,0.036,0.018181818
4,14,78,3,28,787,0,0,0,0,82,3,88,79,0,9,0,121,2,119,0,0,0,1,0.021,0
200,196,1601,22,293,4609,0,0,1,0,634,33,84,29,7,10,113,1089,256,833,0,0,1,1,0.169,0.171863118
12,12,74,7,14,416,0,0,1,0,82,10,83,9,3,7,16,158,40,118,0,0,1,0,0.163,0.168421053
6,11,98,1,11,270,0,0,1,0,57,6,82,9,6,1,11,127,34,93,0,0,1,0,0.188,0.147651007
4,4,21,3,21,486,0,0,0,0,43,4,50,2,0,1,10,99,1,98,0,0,0,0,0.152,0.168067227
20,38,303,1,43,785,0,0,1,0,102,11,86,11,9,9,26,276,121,155,0,0,1,0,0.162,0.158536585
15,25,246,1,30,893,0,0,1,0,90,6,55,3,5,6,29,207,64,143,0,0,1,0,0.225,0.218867925
32,35,378,10,43,940,0,0,1,0,104,13,84,24,4,5,15,157,21,136,0,0,1,0,0.171,0.160427807
0,4,27,0,5,55,0,0,0,0,20,1,46,8,0,4,0,33,0,33,0,0,0,0,0,0
0,1,20,0,2,86,0,0,0,0,24,1,71,12,0,0,0,0,0,0,0,0,0,0,0,0
14,38,223,3,46,1570,0,0,1,1,127,15,77,27,12,4,12,423,162,261,0,0,1,1,0.036,0.053691275
14,18,355,0,21,1232,0,0,1,0,178,17,0,11,10,9,28,380,147,233,0,0,1,0,0.132,0.128440367
82,110,990,56,154,3672,0,0,1,1,520,23,81,30,13,14,97,955,251,704,0,0,1,1,0.17,0.168842472
14,23,248,13,33,1290,0,0,0,1,130,5,87,55,0,12,2,183,4,179,0,0,0,1,0.021,0.021390374
0,3,18,0,3,97,0,0,0,0,7,2,74,14,5,0,4,31,11,20,0,0,0,0,0.216,0.205128205
2,5,26,0,7,64,0,0,1,0,18,6,93,5,6,1,12,104,24,80,0,0,1,0,0.183,0.1875
6,7,26,2,8,115,0,0,1,0,22,2,66,23,2,1,2,36,6,30,0,0,1,0,0.1,0.1
6,9,76,0,16,442,0,0,1,0,62,4,86,11,11,9,26,269,127,142,0,0,1,0,0.161,0.161993769
11,12,102,3,28,1113,0,0,1,0,106,8,55,3,5,6,29,200,59,141,0,0,1,0,0.253,0.224806202
13,13,137,11,33,869,0,0,1,0,97,11,83,23,5,6,16,155,25,130,0,0,1,0,0.173,0.171122995
4,16,93,10,23,841,0,0,1,1,92,8,33,9,15,5,7,370,147,223,0,0,1,1,0.039,0.036458333
0,1,6,1,2,34,0,0,1,0,5,2,0,10,9,2,10,78,43,35,0,0,1,0,0.218,0.204081633
19,24,164,7,35,834,0,0,1,0,129,9,87,9,5,5,16,189,31,158,0,0,1,0,0.146,0.14479638
78,95,746,23,125,2707,0,0,1,1,333,15,66,5,12,14,30,576,89,487,0,0,1,1,0.094,0.094339623
3,12,87,7,19,625,0,0,1,0,107,8,0,2,6,10,31,301,113,188,0,0,1,0,0.161,0.170798898
46,53,295,31,78,1149,0,0,1,1,90,3,36,19,17,8,3,159,61,98,0,0,1,1,0.043,0.036363636
31,12,254,6,45,699,0,0,1,0,165,11,25,9,4,8,39,301,26,275,0,0,1,0,0.205,0.205804749
32,36,452,8,45,501,0,0,1,0,101,17,0,2,4,8,16,164,43,121,0,0,1,0,0.165,0.163265306
11,16,102,6,21,745,0,0,0,0,71,7,50,2,0,2,10,112,1,111,0,0,0,0,0.152,0.151515152
2,6,38,3,8,620,0,0,0,0,37,5,83,51,9,0,2,106,48,58,0,0,0,0,0.036,0.036363636
476,351,3629,60,521,22719,0,0,1,0,365,37,0,0,9,9,51,1199,493,706,0,0,1,0,0.077,0.07840123
13,17,134,11,26,478,0,0,0,0,55,7,84,16,0,6,4,104,5,99,0,0,0,0,0.075,0.071428571
0,2,6,0,5,57,0,0,0,0,21,1,53,9,0,5,0,34,0,34,0,0,0,0,0,0
0,2,16,1,2,83,0,0,0,0,16,2,79,13,0,0,0,0,0,0,0,0,0,0,0,0
