coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,4,30,0,5,121,0,0,1,0,21,4,80,5,13,7,7,235,105,130,0,0,1,0,0.061,0.0562249
106,112,1468,0,195,5013,0,0,1,1,677,26,76,40,18,18,141,1466,408,1058,0,0,1,1,0.156,0.161327231
26,28,398,0,41,1438,0,0,0,0,154,6,89,63,1,14,3,215,8,207,0,0,0,0,0.026,0.027149321
0,1,14,0,2,96,0,0,0,0,2,1,79,17,3,0,4,29,7,22,0,0,0,0,0.205,0.216216216
7,15,165,0,30,1222,0,0,1,0,110,3,0,14,1,12,5,211,4,207,0,0,1,0,0.045,0.045248869
19,22,369,0,42,1479,0,0,1,0,193,11,0,12,7,12,33,434,123,311,0,0,1,0,0.125,0.132
0,1,23,0,1,36,0,0,1,0,5,1,0,10,1,1,1,10,1,9,0,0,1,0,0.143,0.166666667
1,4,56,0,8,186,0,0,1,0,38,8,100,4,12,1,15,150,53,97,0,0,1,0,0.166,0.166666667
0,2,38,0,5,116,0,0,1,0,23,2,68,17,4,3,13,87,17,70,0,0,1,0,0.226,0.230088496
12,18,267,0,35,828,0,0,1,0,129,11,83,18,15,10,37,373,154,219,0,0,1,0,0.163,0.165548098
0,3,51,0,7,743,0,0,1,0,72,2,80,26,5,7,45,258,57,201,0,0,1,0,0.242,0.25862069
13,23,291,0,38,1001,0,0,1,0,143,14,87,32,9,8,29,301,51,250,0,0,1,0,0.149,0.161559889
20,31,471,0,50,1738,0,0,1,1,166,15,0,3,21,8,9,615,276,339,0,0,1,1,0.052,0.028436019
10,18,207,0,38,469,0,0,1,0,58,17,100,6,14,3,17,154,79,75,0,0,1,0,0.182,0.180851064
14,15,160,0,17,761,0,0,1,0,115,6,75,15,3,6,17,203,26,177,0,0,1,0,0.136,0.143459916
55,77,856,3,132,3853,0,0,1,1,503,24,85,20,12,17,43,906,130,776,0,0,1,1,0.111,0.086693548
13,19,248,5,25,844,0,0,1,0,140,10,0,5,8,10,33,353,147,206,0,0,1,0,0.147,0.1575179
27,34,330,3,58,2176,0,0,1,1,192,7,54,17,23,14,24,438,192,246,0,0,1,1,0.098,0.098765432
2,6,87,1,16,491,0,0,1,0,99,7,94,14,4,9,26,320,27,293,0,0,1,0,0.138,0.139784946
7,7,148,0,14,249,0,0,1,0,67,3,74,21,8,8,8,159,51,108,0,0,1,0,0.094,0.091428571
39,34,570,0,76,2366,0,0,0,0,142,10,50,2,0,6,15,194,9,185,0,0,0,0,0.129,0.133928571
4,8,156,0,9,497,0,0,1,0,31,5,66,6,11,3,16,172,79,93,0,0,1,0,0.128,0.156862745
12,22,152,0,33,582,0,0,1,0,117,13,25,12,5,9,8,285,26,259,0,0,1,0,0.051,0.053156146
365,335,3488,11,404,25701,0,0,1,0,215,15,0,0,11,12,58,1707,710,997,0,0,1,0,0.059,0.063631377
2,7,140,0,15,811,0,0,0,0,95,9,93,31,0,7,7,195,9,186,0,0,0,0,0.065,0.066985646
4,5,102,0,12,419,0,0,1,0,87,8,67,26,4,9,8,145,28,117,0,0,1,0,0.097,0.099378882
0,2,40,0,2,96,0,0,0,0,20,2,80,16,0,0,0,0,0,0,0,0,0,0,0,0
