coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,1,11,0,1,135,0,0,0,0,8,2,73,25,0,0,2,21,0,21,0,0,0,0,0.16,
0,3,37,1,5,164,0,0,1,0,21,1,78,37,2,4,2,37,3,34,0,0,1,0,0.098,
0,2,8,0,3,221,0,1,1,0,16,1,68,16,1,2,9,36,2,34,0,1,1,0,0.367,
0,4,37,3,4,177,0,1,1,0,15,1,77,38,5,2,2,46,24,22,0,1,1,0,0.179,
0,3,24,1,4,1300,0,0,1,0,41,1,87,393,1,5,7,50,3,47,0,0,1,0,0.219,
0,8,68,2,9,317,0,1,0,0,26,2,82,58,0,3,7,67,0,67,0,1,0,0,0.173,
18,33,173,0,41,3429,0,0,1,1,157,3,93,195,1,13,93,633,6,627,0,0,1,1,0.226,
10,9,162,13,16,967,0,1,1,1,92,12,45,16,8,3,15,252,84,168,0,1,1,1,0.106,
30,36,281,0,48,3234,0,0,1,0,129,3,93,198,5,7,67,377,25,352,0,0,1,0,0.266,
5,8,61,0,16,739,0,0,0,0,74,7,97,16,0,7,26,147,0,147,0,0,0,0,0.261,
51,58,458,16,78,3731,0,1,1,1,248,15,0,18,10,12,152,842,171,671,0,1,1,1,0.266,
9,13,134,1,13,6847,0,0,0,0,26,17,40,10,2,0,620,842,15,827,0,0,0,0,0.596,
39,36,404,9,56,1152,0,0,1,1,194,39,0,2,15,12,110,827,228,599,0,0,1,1,0.235,
0,1,6,0,1,87,0,0,0,0,8,1,62,20,2,0,0,12,3,9,0,0,0,0,0,
0,8,74,0,9,376,0,0,1,0,29,1,84,71,3,4,0,59,11,48,0,0,1,0,0,
0,1,4,1,6,76,0,0,1,0,16,1,76,21,1,2,0,24,3,21,0,0,1,0,0,
0,3,24,1,4,1566,1,0,0,0,8,1,86,617,1,2,0,11,1,10,1,0,1,0,0,
0,2,17,1,2,59,0,1,1,0,9,1,36,15,4,1,0,27,13,14,0,1,1,0,0,
0,2,14,0,2,103,0,1,0,0,6,2,44,28,4,0,0,17,7,10,0,1,0,0,0,
0,1,2,0,1,125,0,0,0,0,16,1,78,28,2,0,0,36,3,33,0,0,0,0,0,
0,2,3,0,4,169,0,0,1,0,21,1,78,38,2,5,2,37,3,34,0,0,1,0,0.087,
0,1,3,0,2,230,0,1,1,0,16,1,68,16,1,2,11,38,3,35,0,1,1,0,0.205,
0,1,5,4,4,327,0,1,0,0,26,2,82,59,0,3,7,67,0,67,0,1,0,0,0.2,
3,4,54,12,7,611,0,0,0,0,61,5,97,16,0,7,26,147,0,147,0,0,0,0,0.268,
16,21,124,25,44,1893,0,1,1,1,134,9,78,37,12,13,153,846,175,671,0,1,1,1,0.334,
0,1,10,1,1,223,0,0,0,0,3,1,8,26,2,0,620,842,15,827,0,1,0,0,0.534,
15,15,171,9,29,576,0,1,1,0,94,24,76,13,4,4,22,312,13,299,0,1,1,1,0.334,
0,2,19,3,3,62,0,1,1,0,9,1,36,16,4,1,0,27,13,14,0,1,1,0,0,
18,7,113,0,26,650,0,1,1,1,55,7,75,15,10,3,15,252,84,168,0,1,1,1,0.161,
0,1,3,0,2,90,0,0,1,0,7,1,77,21,3,1,0,15,6,9,0,0,1,1,0.225,
0,2,4,0,2,81,1,0,0,0,9,1,32,18,5,0,0,34,23,11,1,0,0,0,0,
2,2,44,3,4,544,0,1,1,0,64,3,85,63,2,9,16,98,3,95,0,0,1,0,0.144,
4,20,136,37,28,1413,0,0,1,1,127,4,92,188,5,14,33,227,14,213,0,1,1,1,0.401,
0,12,74,8,21,537,0,1,1,0,29,1,81,65,5,7,27,189,21,168,0,1,1,0,0.223,
4,4,88,0,6,74,0,0,1,0,23,12,46,6,10,6,2,121,43,78,0,1,1,1,0.401,
12,3,47,8,17,980,0,0,0,0,106,11,97,18,0,9,33,180,0,180,0,0,0,0,0.262,
0,1,19,0,3,101,0,1,1,0,10,1,80,12,2,3,5,33,4,29,0,1,1,0,0.244,
0,4,24,1,4,236,0,1,1,0,32,3,75,46,1,10,2,60,2,58,0,1,1,1,0.401,
10,21,249,12,37,1649,0,1,1,1,172,16,86,48,23,11,48,502,196,306,0,1,1,1,0.401,
5,6,105,1,10,687,0,1,1,0,81,6,92,35,7,12,46,218,11,207,0,1,1,0,0.345,
0,5,34,7,6,274,0,1,1,0,14,1,88,69,10,2,2,71,52,19,0,1,1,1,0.401,
0,2,11,1,2,8753,0,1,0,0,0,1,0,0,1,1,605,1054,5,1049,0,1,0,0,0.534,
0,2,11,8,3,435,0,1,1,0,38,1,77,83,3,8,4,70,5,65,0,1,1,0,0.095,
0,2,2,1,4,142,0,1,1,0,22,1,56,31,10,2,2,73,42,31,0,1,1,1,0.401,
0,2,8,0,3,85,0,0,1,0,8,1,53,19,12,3,0,56,41,15,0,1,1,1,0.401,
1,1,22,0,2,26,0,0,0,0,6,1,66,6,1,0,4,14,3,11,0,0,0,0,0.364,
0,1,2,0,1,17,0,0,0,0,0,1,37,4,1,0,0,8,7,1,0,0,0,0,0,
0,3,21,2,7,116,0,1,1,0,14,1,69,32,12,1,0,48,34,14,0,1,1,1,0,
0,2,29,0,3,74,1,1,0,0,13,1,50,14,0,7,0,24,0,24,1,1,0,0,0,
10,7,76,0,11,1463,0,1,0,0,42,18,50,24,3,0,22,270,131,139,0,1,0,0,0.137,
0,5,31,8,6,447,0,0,1,0,46,1,90,93,4,11,0,71,14,57,0,0,1,0,0.048,
68,76,589,49,114,4442,0,1,1,1,419,90,54,13,27,24,455,1814,447,1367,0,1,1,1,0.401,
0,8,29,3,10,294,0,0,1,0,23,1,80,73,4,5,0,48,12,36,0,0,1,1,0.095,
0,3,23,1,3,551,0,1,1,0,36,1,70,94,1,3,2,61,2,59,0,1,1,0,0.061,
4,5,19,0,9,206,0,1,1,0,54,8,100,2,1,4,30,283,1,282,0,1,1,0,0.175,
0,2,15,1,2,257,0,1,1,0,40,1,81,54,1,6,2,60,5,55,0,1,1,0,0.063,
0,1,8,1,1,2010,0,0,1,0,12,1,100,29,2,1,88,272,21,251,0,0,1,0,0.385,
4,4,18,0,4,198,0,1,1,0,25,2,54,29,2,1,0,35,3,32,0,1,1,0,0,
0,1,2,2,1,202,0,0,1,0,27,1,79,41,1,3,2,43,3,40,0,0,1,0,0.085,
0,4,21,2,4,135,0,0,1,0,4,3,100,1,1,3,4,58,9,49,0,0,1,0,0.121,
0,3,7,2,4,305,0,1,1,0,24,1,93,72,6,1,5,61,28,33,0,1,1,0,0.141,
2,6,30,1,6,141,0,0,1,0,23,3,71,8,2,1,0,77,6,71,0,0,1,1,0.213,
0,1,4,1,1,151,0,0,1,0,18,1,84,28,2,4,4,40,7,33,0,0,1,0,0.17,
0,1,1,0,6,36,0,0,0,0,7,2,0,7,2,0,0,17,3,14,0,0,0,0,0,
5,0,8,4,5,866,0,0,0,0,84,7,96,32,0,9,33,186,0,186,0,0,0,0,0.262,
0,3,8,0,4,213,0,1,0,0,20,2,77,40,0,4,2,41,0,41,0,1,0,0,0.089,
0,3,29,1,3,388,0,0,1,0,44,2,85,63,3,6,7,83,4,79,0,0,1,0,0.131,
190,177,1163,63,243,12345,0,1,1,1,953,106,33,24,32,29,827,2475,516,1959,0,0,1,1,0.213,
8,17,101,6,19,1468,0,0,1,1,92,8,0,11,12,11,18,343,112,231,0,1,1,1,0.279,
7,8,61,2,10,491,0,1,1,0,61,8,67,23,5,8,8,110,11,99,0,0,1,1,0.213,
0,2,19,2,2,112,0,0,1,0,11,1,82,21,4,1,2,30,16,14,0,0,1,0,0.118,
0,3,16,0,3,135,0,1,1,0,16,2,50,17,3,1,4,32,6,26,0,1,1,0,0.178,
0,11,48,2,14,784,0,1,1,0,31,1,92,102,8,5,35,244,23,221,0,1,1,0,0.224,
0,16,88,6,18,735,0,0,1,0,51,1,90,122,4,8,2,79,14,65,0,0,1,0,0.115,
0,5,20,1,6,166,0,0,1,0,14,2,75,29,1,1,6,41,1,40,0,0,1,0,0.226,
0,1,1,1,1,149,0,1,1,0,11,1,63,14,1,3,2,42,1,41,0,1,1,0,0.085,
0,1,3,1,1,84,1,0,0,0,9,1,30,20,12,0,0,50,39,11,1,0,0,0,0,
