Models,AUC,Smell
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,0.952380952380952,ARC-DC
L,0.979591836734694,ARC-DC
F,0.972789115646258,ARC-DC
N,0.826666666666667,ARC-LO
L,0.76,ARC-LO
F,0.906666666666667,ARC-LO
N,1,ARC-SF
L,1,ARC-SF
F,1,ARC-SF
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,1,ARC-DC
L,1,ARC-DC
F,1,ARC-DC
N,0.983333333333333,ARC-LO
L,0.991666666666667,ARC-LO
F,0.966666666666667,ARC-LO
N,0.866666666666667,ARC-SF
L,0.985714285714286,ARC-SF
F,0.928571428571429,ARC-SF
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,0.96078431372549,ARC-DC
L,0.949019607843137,ARC-DC
F,0.974509803921569,ARC-DC
N,0.741452991452992,ARC-LO
L,0.685897435897436,ARC-LO
F,0.871794871794872,ARC-LO
N,0.94551282051282,ARC-SF
L,0.963141025641026,ARC-SF
F,0.953525641025641,ARC-SF
