coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
9,10,25,3,11,1064,0,0,1,0,47,4,30,12,8,4,11,240,74,166,0,0,1,0,0.084,
0,1,1,2,1,144,0,0,0,0,22,2,75,11,2,10,35,478,20,458,0,0,0,0,0.122,
0,4,7,2,8,1185,0,0,1,0,29,1,96,41,9,4,8,193,67,126,0,0,1,0,0.077,
0,7,29,8,9,1545,0,0,1,1,100,4,0,12,25,8,29,920,314,606,0,0,1,1,0.06,
25,21,105,68,51,6814,0,0,1,1,484,12,95,338,10,15,111,953,130,823,0,0,1,1,0.186,
0,2,8,0,2,212,0,0,1,0,19,2,50,35,1,6,4,77,8,69,0,0,1,0,0.092,
0,2,16,2,2,154,0,0,1,0,31,2,76,26,1,7,8,255,19,236,0,0,1,0,0.058,
0,2,3,0,2,298,0,0,0,0,18,1,84,27,3,0,0,33,8,25,0,0,0,0,0,
0,2,2,9,5,1373,0,0,1,0,101,2,95,154,8,4,18,264,60,204,0,0,1,0,0.129,
0,1,1,0,1,420,0,0,1,0,29,1,80,84,4,3,1,59,13,46,0,0,1,0,0.033,
20,20,460,0,20,544,0,0,0,0,62,40,38,13,1,0,26,239,32,207,0,0,0,0,0.179,
14,14,76,45,37,3011,0,0,1,1,279,13,71,56,5,13,24,503,64,439,0,0,1,1,0.086,
2,4,23,10,8,1000,0,0,1,0,52,3,61,52,14,6,28,350,78,272,0,0,1,0,0.137,
5,7,37,9,15,2271,0,0,1,1,114,9,75,28,26,10,27,1031,714,317,0,0,1,1,0.049,
0,4,9,22,12,2228,0,0,1,1,89,3,90,136,19,8,70,848,375,473,0,0,1,1,0.143,
3,3,36,3,3,286,0,0,1,0,32,3,62,16,5,2,2,89,42,47,0,0,1,0,0.043,
2,3,25,5,3,763,0,0,0,0,30,2,66,12,0,6,0,65,3,62,0,0,0,0,0,
0,2,6,4,2,186,0,0,1,0,22,1,78,19,1,4,1,45,4,41,0,0,1,0,0.044,
4,5,19,5,7,683,0,0,1,0,70,3,86,58,6,5,3,147,50,97,0,0,1,0,0.039,
0,1,1,0,3,341,0,0,1,0,25,1,78,37,2,9,11,204,10,194,0,0,1,0,0.097,
0,1,4,0,1,19,0,0,1,0,5,3,0,5,8,3,51,260,67,193,0,0,1,0,0.277,
0,1,3,0,1,53,0,0,0,0,14,2,50,7,4,10,58,458,13,445,0,0,0,0,0.202,
2,3,49,2,3,677,0,0,0,0,49,2,0,11,0,5,0,69,2,67,0,0,0,0,0,
0,1,4,1,4,348,0,0,1,0,79,1,81,74,12,7,4,258,86,172,0,0,1,0,0.03,
10,11,121,11,11,30491,0,0,0,0,110,16,85,65,1,0,2,807,469,338,0,0,0,0,0.005,
