coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,1,11,1,2,245,0,0,1,0,20,1,78,26,1,1,0,41,7,34,0,0,1,0,0,
16,9,185,0,18,212,0,0,0,0,39,14,0,2,0,2,14,223,6,217,0,0,0,0,0.11,
13,21,120,10,23,1141,0,0,1,0,120,11,0,18,3,2,6,295,45,250,0,0,1,0,0.038,
6,6,48,2,8,2866,0,0,1,0,49,2,86,617,2,1,10,82,9,73,0,0,1,0,0.196,
6,1,64,13,8,650,0,0,1,0,55,7,52,23,4,1,7,116,24,92,0,0,1,0,0.108,
5,8,62,0,16,739,0,0,0,0,74,7,97,16,0,2,7,146,8,138,0,0,0,0,0.088,
2,10,94,1,12,501,0,0,0,0,16,2,0,11,0,2,0,32,2,30,0,0,0,0,0,
8,15,134,4,16,675,0,0,1,0,77,8,43,10,3,2,4,177,56,121,0,0,1,0,0.043,
10,14,146,1,14,6849,0,0,0,0,26,18,40,10,1,0,0,371,226,145,0,0,0,0,0,
137,85,1063,14,180,10263,0,0,1,1,550,28,93,198,9,6,167,1207,456,751,0,0,1,1,0.215,
10,13,113,3,22,664,0,0,1,1,113,14,81,13,4,5,60,368,38,330,0,0,1,1,0.246,
17,14,174,9,30,584,0,0,0,0,98,25,76,13,0,2,16,260,7,253,0,0,0,0,0.11,
11,10,67,7,23,815,0,0,1,0,76,6,70,33,3,2,6,308,54,254,0,0,1,0,0.055,
18,7,113,0,26,650,0,0,1,0,55,7,75,15,4,1,7,116,24,92,0,0,1,0,0.121,
3,4,54,12,7,611,0,0,0,0,61,5,97,16,0,2,7,146,8,138,0,0,0,0,0.089,
0,3,30,4,7,501,0,0,0,0,16,2,0,7,0,2,0,32,2,30,0,0,0,0,0,
2,5,26,3,8,336,0,0,1,0,48,3,36,16,3,2,4,179,58,121,0,0,1,1,0.05,
0,1,10,1,1,223,0,0,0,0,3,1,8,26,1,0,0,371,226,145,0,0,0,0,0.008,
0,1,2,3,3,304,0,0,1,0,21,1,85,22,7,4,1,130,67,63,0,0,1,0,0.062,
8,14,125,10,24,1141,0,0,1,0,124,12,68,31,11,6,14,478,173,305,0,0,1,1,0.071,
6,6,114,1,12,589,0,0,1,0,67,6,50,17,10,4,9,131,41,90,0,0,1,0,0.133,
12,3,47,8,17,980,0,0,0,0,106,11,97,18,0,4,9,184,10,174,0,0,0,0,0.087,
2,4,36,1,6,550,0,0,0,0,23,2,0,11,0,4,0,41,2,39,0,0,0,0,0,
6,4,31,5,15,369,0,0,1,1,55,4,54,13,13,3,9,343,187,156,0,0,1,1,0.064,
12,10,115,1,14,10218,0,0,0,0,42,20,50,24,1,0,2,471,282,189,0,0,0,0,0.008,
4,4,36,1,6,1669,0,0,1,0,79,4,91,37,7,4,8,241,93,148,0,0,1,0,0.068,
5,18,79,2,24,1142,0,0,1,1,130,17,0,7,13,5,18,468,166,302,0,0,1,1,0.07,
82,82,487,26,135,6561,0,0,1,0,456,18,94,237,6,7,63,683,93,590,0,0,1,0,0.15,
9,24,157,13,38,1977,0,0,1,0,72,10,86,111,10,6,23,317,147,170,0,0,1,0,0.124,
0,1,1,2,1,528,0,0,0,0,8,1,0,11,0,4,0,41,2,39,0,0,0,0,0,
0,4,37,1,4,601,0,0,0,0,74,4,85,63,1,7,7,179,12,167,0,0,1,0,0.066,
7,6,27,2,12,487,0,0,0,0,85,12,100,2,0,5,24,291,7,284,0,0,0,0,0.142,
0,4,14,1,4,76,0,0,1,0,12,1,71,8,1,1,0,23,2,21,0,0,1,0,0,
7,2,14,2,7,323,0,0,1,0,39,4,19,6,10,4,11,143,37,106,0,0,1,0,0.134,
5,0,8,4,5,866,0,0,0,0,84,7,96,32,0,4,9,188,10,178,0,0,0,0,0.087,
66,67,521,22,82,2844,0,0,1,0,330,39,0,2,1,8,83,508,37,471,0,0,1,0,0.243,
0,1,7,0,1,35,0,0,0,0,3,1,66,6,1,0,0,15,2,13,0,0,0,0,0,
2,3,37,1,3,240,0,0,0,0,37,6,0,3,0,8,1,54,1,53,0,0,1,0,0.053,
18,30,172,14,35,3754,0,0,1,1,173,24,33,24,13,3,18,526,250,276,0,0,1,1,0.069,
13,11,99,3,13,311,0,0,1,0,52,12,67,23,3,5,7,75,7,68,0,0,1,0,0.132,
0,1,1,1,1,9477,0,0,0,0,0,1,0,0,1,0,2,493,300,193,0,0,0,0,0.008,
16,31,169,17,36,2261,0,0,1,1,189,15,30,20,14,7,35,799,518,281,0,0,1,1,0.079,
4,5,49,7,10,1698,0,0,1,0,80,4,92,38,7,4,9,248,98,150,0,0,1,0,0.08,
4,14,155,14,24,764,0,0,1,1,86,8,0,17,14,5,18,477,174,303,0,0,1,1,0.062,
37,43,399,67,93,6948,0,0,1,0,475,16,94,246,6,7,63,714,101,613,0,0,1,1,0.203,
12,16,239,27,28,1694,0,0,1,0,64,11,100,5,10,6,23,326,153,173,0,0,1,0,0.134,
6,11,67,4,15,466,0,0,0,0,24,2,0,11,0,4,0,42,2,40,0,0,0,0,0,
4,6,45,10,11,1161,0,0,1,0,136,6,86,79,1,7,7,197,13,184,0,0,0,0,0,
6,3,18,9,12,365,0,0,0,0,59,8,50,11,0,5,24,291,7,284,0,0,0,0,0.132,
0,1,12,1,4,71,0,0,1,0,14,1,71,8,1,2,0,25,2,23,0,0,1,0,0.056,
9,7,37,3,19,612,0,0,1,0,71,7,19,6,10,4,12,155,42,113,0,0,1,0,0.183,
35,31,338,31,65,3003,0,0,1,0,352,34,50,5,1,8,83,517,39,478,0,0,1,0,0.246,
0,1,12,0,2,35,0,0,0,0,3,1,66,6,1,0,0,15,2,13,0,0,0,0,0.083,
0,2,9,3,4,217,0,0,1,0,39,6,0,5,1,8,2,71,2,69,0,0,0,0,0,
14,15,251,5,31,3199,0,0,1,1,114,16,33,24,14,3,20,538,257,281,0,0,1,1,0.06,
0,1,2,1,2,71,0,0,1,0,23,2,85,13,3,7,7,92,9,83,0,0,0,0,0,
12,18,192,1,18,11495,0,0,0,0,42,20,50,24,1,0,2,513,318,195,0,0,0,0,0.006,
16,27,230,13,40,2071,0,0,1,1,138,15,60,24,14,7,35,813,533,280,0,0,1,1,0.069,
4,4,14,2,10,1736,0,0,1,0,82,6,0,4,4,4,10,229,75,154,0,0,1,0,0.058,
8,5,44,7,18,526,0,0,0,0,89,13,0,1,0,7,32,379,13,366,0,0,0,0,0.13,
0,1,4,3,10,1027,0,0,1,0,23,1,100,30,8,3,8,181,62,119,0,0,1,0,0.078,
2,8,79,6,13,1535,0,0,1,1,110,8,0,10,21,7,20,609,227,382,0,0,1,1,0.068,
56,53,407,11,103,7059,0,0,1,1,539,28,73,30,5,9,105,824,100,724,0,0,1,1,0.19,
33,32,251,23,61,3657,0,0,1,0,223,17,66,10,10,7,46,597,276,321,0,0,1,1,0.146,
0,1,1,1,3,567,0,0,0,0,8,1,0,11,0,6,0,45,2,43,0,0,0,0,0,
0,2,4,3,2,106,0,0,1,0,16,3,73,9,1,2,1,34,2,32,0,0,1,0,0.053,
18,19,169,1,23,587,0,0,1,0,100,16,33,8,7,3,36,321,66,255,0,0,1,0,0.263,
44,41,584,4,61,3558,0,0,1,0,385,38,25,10,1,8,88,540,38,502,0,0,1,1,0.238,
0,3,27,1,3,51,0,0,0,0,4,3,0,3,1,0,1,22,2,20,0,0,0,0,0.087,
0,3,22,0,5,284,0,0,1,1,65,1,82,60,16,9,12,375,128,247,0,0,1,0,0.024,
4,14,86,2,23,2252,0,0,1,1,127,6,48,24,18,9,34,917,577,340,0,0,1,1,0.057,
0,2,27,1,3,415,0,0,1,0,19,1,78,98,3,2,2,88,11,77,0,0,1,0,0.037,
7,10,145,3,18,901,0,0,0,0,134,14,0,1,0,8,35,469,17,452,0,0,0,0,0.13,
1,6,54,4,10,1148,0,0,1,0,31,2,96,35,9,3,8,189,71,118,0,0,1,0,0.078,
8,18,130,1,31,1784,0,0,1,1,120,16,75,32,17,6,24,657,245,412,0,0,1,1,0.068,
84,71,738,46,146,7298,0,0,1,1,529,27,62,16,8,10,96,817,111,706,0,0,1,1,0.19,
11,11,79,12,29,1346,0,0,1,0,119,5,53,21,5,3,13,185,34,151,0,0,1,0,0.123,
0,1,1,0,2,89,0,0,0,0,11,1,84,18,0,5,17,210,4,206,0,0,0,0,0.139,
0,1,16,0,2,101,0,0,0,0,13,1,83,30,3,7,6,278,45,233,0,0,0,0,0.041,
