coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,1,18,0,1,455,0,0,1,0,34,1,88,50,13,6,9,87,24,63,0,0,1,0,0.161,0.171428571
0,1,13,0,1,119,1,0,1,0,14,1,50,24,3,4,13,38,4,34,1,0,1,0,0.406,0.40625
0,2,28,1,2,89,0,0,1,1,12,3,66,10,43,14,60,625,221,404,0,0,1,1,0.152,0.161073826
4,2,10,1,4,222,0,0,1,1,29,2,30,20,2,38,64,621,6,615,0,0,1,1,0.185,0.170894526
0,1,9,1,1,45,1,0,0,0,4,2,0,8,1,1,0,13,3,10,1,0,0,0,0,0
0,1,9,0,1,13,0,0,0,0,1,2,66,3,3,0,0,7,4,3,0,0,0,0,0,0
0,1,9,0,1,6,0,0,1,0,1,2,0,1,4,2,0,15,9,6,0,0,1,0,0.24,0
0,1,6,0,1,616,0,0,1,1,193,1,90,108,12,26,0,224,24,200,0,0,1,1,0,0
0,1,18,0,1,5,0,0,0,0,1,1,0,1,2,0,0,5,2,3,0,0,0,0,0,0
0,3,35,0,3,264,1,1,1,0,31,1,88,49,7,4,0,61,11,50,1,1,1,0,0,0
0,1,1,0,1,53,0,1,1,0,12,1,33,9,2,3,0,20,3,17,0,1,1,0,0,0
0,4,33,0,5,297,0,1,1,0,40,3,85,34,23,13,15,242,82,160,0,1,1,0,0.114,0.110294118
0,2,13,1,3,50,0,0,1,0,8,2,0,2,20,3,4,88,42,46,0,0,1,0,0.161,0.083333333
0,3,23,0,3,314,0,1,1,0,65,1,90,40,1,21,0,76,1,75,0,1,1,0,0,0
0,3,36,0,4,683,0,0,1,0,44,3,94,60,8,11,9,87,19,68,0,0,1,1,0.185,0.171428571
0,4,55,1,5,868,0,0,1,1,71,2,96,77,23,23,19,262,72,190,0,0,1,0,0.155,0.126666667
4,7,86,4,9,760,0,1,1,0,80,6,66,16,17,16,19,369,38,331,0,1,1,0,0.12,0.093366093
0,4,46,0,4,233,0,1,1,1,41,6,71,8,43,21,6,390,165,225,0,1,1,1,0.176,0.029850746
0,1,13,0,1,752,0,0,1,1,31,1,95,187,34,6,6,172,121,51,0,0,1,1,0.062,0.065217391
0,8,58,3,10,1429,0,0,1,1,90,2,97,279,3,25,2,115,3,112,0,0,1,1,0.03,0.033613445
0,1,4,0,2,346,1,1,1,0,21,2,0,70,1,10,2,26,1,25,1,1,1,0,0.133,0.133333333
0,1,9,1,2,432,1,0,0,0,5,2,100,2,0,3,39,153,0,153,0,0,0,0,0.283,0.337662338
0,1,7,0,1,103,0,1,1,0,5,1,55,18,3,3,2,20,11,9,0,1,1,0,0.167,0.166666667
0,3,36,0,3,281,0,1,1,0,37,2,77,40,1,13,5,52,1,51,0,1,1,0,0.127,0.161290323
0,7,51,0,10,5296,0,0,1,1,202,2,94,940,2,61,13,244,3,241,0,0,1,1,0.108,0.096296296
0,1,18,0,1,54,0,1,0,0,4,1,75,8,2,0,2,12,4,8,0,1,0,0,0.25,0.25
3,4,21,2,6,659,0,0,0,0,52,1,90,144,1,0,0,3,3,0,0,0,0,0,0,0
0,1,18,0,1,8,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
2,2,36,0,2,30,0,0,1,0,8,4,75,3,1,3,0,18,2,16,0,0,1,0,0,0
0,1,6,0,1,467,0,0,1,0,27,1,100,11,4,14,12,165,8,157,0,0,1,0,0.121,0.126984127
0,1,1,0,1,101,0,0,1,0,27,2,83,23,6,10,1,97,11,86,0,0,1,0,0.02,0.02020202
0,1,1,0,2,92,1,0,1,0,14,1,71,20,2,6,0,19,2,17,1,0,1,0,0,0
0,1,2,0,1,118,0,0,0,0,11,1,50,20,0,2,5,25,0,25,0,0,0,0,0.286,0.285714286
0,1,18,0,1,170,0,0,1,0,21,1,66,38,1,6,0,32,1,31,0,0,1,0,0,0
0,1,18,0,1,43,0,0,1,0,4,2,70,11,3,1,0,12,3,9,0,0,1,0,0,0
0,1,18,0,1,153,0,0,1,0,8,1,0,1,2,18,7,122,6,116,0,0,1,0,0.099,0.102941176
0,2,2,0,2,289,1,0,1,0,16,1,94,75,5,3,0,25,5,20,1,0,1,0,0,0
0,1,2,0,1,100,0,0,0,0,18,1,79,23,1,1,0,25,1,24,0,0,0,0,0,0
0,1,4,0,2,135,0,0,1,0,6,1,92,38,8,4,5,36,13,23,0,0,1,0,0.217,0.217391304
0,1,13,0,1,647,0,0,1,0,62,1,94,104,4,22,16,213,9,204,0,0,1,0,0.129,0.130612245
0,1,13,0,1,25,0,0,1,1,2,1,66,6,109,17,87,2025,1612,413,0,0,1,1,0.217,0.079126876
