coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
6,4,72,1,12,706,0,0,1,0,96,6,56,16,7,2,64,358,201,157,0,0,1,1,0.159,
0,2,8,0,2,244,0,0,1,0,31,1,89,45,3,3,1,68,10,58,0,0,1,0,0.029,
0,3,32,1,4,215,0,0,1,1,25,1,87,44,8,3,24,200,61,139,0,0,1,1,0.137,
22,24,329,14,28,921,0,0,1,0,215,12,90,34,2,8,20,303,24,279,0,0,1,1,0.088,
5,5,86,0,6,145,0,0,1,0,33,3,40,5,2,4,2,53,14,39,0,0,1,0,0.069,
10,13,74,3,27,404,0,0,1,0,52,24,66,3,2,1,14,722,91,631,0,0,1,0,0.041,
6,7,111,0,7,14028,0,0,0,0,15,7,50,22,5,0,0,38,38,0,0,0,0,0,0,
41,44,393,47,91,4238,0,0,1,1,614,35,80,72,10,15,145,1421,256,1165,0,0,1,1,0.141,
3,3,69,0,6,97,0,0,1,0,22,4,0,4,5,1,18,165,118,47,0,0,1,0,0.101,
16,13,233,0,42,652,0,0,1,0,94,18,0,1,6,3,51,129,12,117,0,0,1,1,0.321,
13,22,246,11,35,1060,0,0,1,1,130,29,79,19,5,10,87,487,211,276,0,0,1,1,0.242,
0,6,34,3,7,381,0,0,1,0,49,2,58,27,1,9,2,82,7,75,0,0,1,1,0.034,
27,30,320,19,55,4425,0,0,1,1,330,14,91,502,7,17,83,632,110,522,0,0,1,1,0.187,
0,8,46,8,8,250,0,0,0,0,17,2,93,41,7,0,0,63,35,28,0,0,0,1,0,
10,14,98,3,18,1174,0,0,1,0,119,4,93,100,4,7,20,249,71,178,0,0,1,0,0.12,
0,1,6,2,2,235,0,0,1,0,26,1,91,47,4,4,0,51,15,36,0,0,1,0,0,
0,3,44,2,3,248,0,0,0,0,43,2,66,45,0,0,0,0,0,0,0,0,0,0,0,
0,1,8,0,1,25,0,0,1,0,3,2,0,1,3,2,1,83,14,69,0,0,1,0,0.101,
0,1,24,0,1,51,0,0,0,0,20,1,40,10,0,2,0,28,0,28,0,0,0,0,0,
2,0,2,1,5,365,0,0,0,0,38,2,86,60,0,0,0,0,0,0,0,0,0,0,0,
2,3,34,1,4,346,0,0,0,0,14,5,100,3,0,0,0,0,0,0,0,0,0,0,0,
0,1,11,1,1,406,0,0,1,1,41,1,100,110,18,5,55,584,401,183,0,0,1,1,0.171,
3,3,60,3,3,505,0,0,0,0,60,4,82,46,1,7,45,218,9,209,0,0,0,0,0.289,
3,3,18,0,3,145,0,0,1,0,33,3,40,5,2,4,2,54,15,39,0,0,1,0,0.065,
8,8,89,2,10,793,0,0,1,0,28,26,50,15,4,6,20,932,112,820,0,0,1,0,0.039,
2,2,8,0,2,502,0,0,0,0,13,2,0,0,6,0,0,45,45,0,0,0,0,0,0,
0,8,46,5,9,275,0,0,0,1,17,2,93,42,11,0,0,82,54,28,0,0,0,1,0,
3,2,27,0,5,614,0,0,1,0,39,5,0,11,4,7,37,430,86,344,0,0,1,0,0.143,
0,1,4,0,1,14,0,0,0,0,4,2,100,3,0,0,0,0,0,0,0,0,0,0,0,
2,0,2,1,2,400,0,0,0,0,38,2,87,66,0,0,0,0,0,0,0,0,0,0,0,
2,2,30,2,2,135,0,0,1,0,16,2,35,16,3,3,2,35,11,24,0,0,1,0,0.143,
0,2,16,8,3,990,0,0,0,0,46,3,86,86,4,0,0,11,11,0,0,0,0,0,0,
7,11,111,1,12,1678,0,0,1,1,265,7,91,70,4,12,25,519,53,466,0,0,1,1,0.096,
18,16,138,5,19,230,0,0,0,0,28,6,0,7,4,0,10,145,44,101,0,0,0,0,0.095,
4,5,32,0,5,1050,0,0,0,0,72,6,98,180,0,0,0,0,0,0,0,0,0,0,0,
57,53,901,26,82,6331,0,0,1,1,917,67,100,51,13,23,161,1964,519,1445,0,0,1,1,0.139,
10,17,150,3,17,946,0,0,1,1,104,12,90,23,7,13,110,689,338,351,0,0,1,1,0.237,
0,3,46,3,4,365,0,0,1,1,49,2,76,79,3,12,2,112,11,101,0,0,1,1,0.023,
32,36,324,21,42,5505,0,0,1,1,369,17,93,606,10,21,88,767,205,562,0,0,1,1,0.166,
4,5,13,0,5,271,0,0,1,0,45,3,60,23,4,5,6,87,13,74,0,0,1,0,0.12,
4,7,54,9,12,1238,0,0,1,0,127,5,93,100,8,9,20,293,111,182,0,0,1,0,0.11,
0,3,21,0,3,283,0,0,1,0,28,1,91,55,6,4,0,61,23,38,0,0,1,0,0,
0,1,20,1,1,30,0,0,0,0,3,2,0,7,1,2,3,38,10,28,0,0,0,0,0.136,
7,10,80,3,12,1324,0,0,1,0,59,6,0,0,4,7,18,320,52,268,0,0,1,0,0.096,
0,3,27,1,3,104,0,0,1,0,44,1,66,19,2,11,3,111,13,98,0,0,1,1,0.051,
0,1,8,0,4,228,0,0,0,0,6,2,100,3,0,0,0,0,0,0,0,0,0,0,0,
