coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,1,11,2,1,411,0,0,0,0,18,2,100,5,0,0,0,0,0,0,0,0,0,0,0,
0,1,7,0,1,739,0,0,1,1,58,1,96,175,22,6,109,1028,770,258,0,0,1,1,0.173,
0,2,16,0,2,441,0,0,1,1,46,2,0,6,19,8,26,297,144,153,0,0,1,1,0.145,
0,1,5,0,1,116,0,0,1,0,12,4,77,24,5,7,52,265,18,247,0,0,1,0,0.282,
2,2,14,0,2,169,0,0,1,0,17,2,40,5,2,4,2,58,18,40,0,0,1,0,0.066,
2,3,34,0,3,440,0,0,1,0,68,3,66,31,2,9,18,173,28,145,0,0,1,0,0.172,
0,3,33,0,4,32,0,0,0,0,5,3,0,6,0,1,0,14,2,12,0,0,0,0,0,
0,4,33,1,4,52025,0,0,0,1,0,1,0,0,16,0,0,168,168,0,0,0,0,1,0,
4,4,12,0,4,55,0,0,1,0,14,2,75,5,1,5,14,77,2,75,0,0,1,0,0.267,
0,12,54,8,14,635,0,0,0,1,26,2,96,62,29,1,0,175,137,38,0,0,0,1,0,
5,8,69,0,8,698,0,0,1,0,133,15,61,20,12,10,123,1599,274,1325,0,0,1,0,0.134,
0,1,5,0,1,478,0,0,1,0,10,2,94,97,2,2,8,133,17,116,0,0,1,0,0.107,
0,3,20,0,3,243,0,0,1,0,48,3,83,46,2,12,1,62,2,60,0,0,1,0,0.031,
0,2,3,0,2,160,0,0,1,1,40,6,33,15,7,19,8,255,23,232,0,0,1,1,0.057,
18,23,144,12,28,8479,0,0,0,0,298,13,0,2,7,0,0,39,39,0,0,0,0,0,0,
12,15,77,0,16,2283,0,0,1,1,327,8,88,87,11,20,39,810,84,726,0,0,1,1,0.086,
15,15,165,2,19,854,0,0,0,0,57,8,0,5,9,1,11,309,86,223,0,0,0,0,0.066,
0,1,7,0,1,589,0,0,1,1,40,1,95,142,16,3,134,650,404,246,0,0,1,1,0.288,
0,1,4,2,1,260,0,0,1,0,42,2,90,51,2,9,13,180,5,175,0,0,1,0,0.126,
2,2,10,0,2,361,0,0,0,0,45,2,42,31,0,3,2,82,5,77,0,0,0,0,0.047,
2,3,23,1,3,1068,0,0,0,0,64,3,0,10,0,0,0,0,0,0,0,0,0,0,0,
36,47,304,7,60,11413,0,0,1,1,1207,47,88,14,27,33,273,3524,990,2534,0,0,1,1,0.133,
10,1,95,1,11,598,0,0,1,0,83,43,0,7,12,7,78,355,80,275,0,0,1,0,0.292,
13,19,179,4,29,2611,0,0,1,1,212,22,98,68,19,21,222,1366,700,666,0,0,1,1,0.245,
0,1,9,1,1,1013,0,0,1,1,111,1,85,218,15,19,7,331,87,244,0,0,1,1,0.066,
0,1,9,0,1,487,0,0,0,0,36,1,85,105,0,5,1,61,3,58,0,0,0,0,0.032,
3,3,33,6,3,413,0,0,0,0,54,6,75,6,0,0,0,0,0,0,0,0,0,0,0,
12,13,90,9,20,8879,0,0,1,1,416,9,66,61,22,26,123,1369,439,930,0,0,1,1,0.153,
0,1,2,0,1,78,0,0,1,1,10,2,63,20,15,2,18,282,187,95,0,0,1,0,0.113,
6,8,64,2,9,2409,0,0,1,1,173,6,69,40,24,16,32,673,355,318,0,0,1,1,0.087,
0,1,5,0,1,326,0,0,1,0,10,1,84,67,2,4,197,324,3,321,0,0,1,0,0.549,
0,2,6,0,2,444,0,0,1,0,41,1,95,85,14,12,3,139,56,83,0,0,1,0,0.04,
9,11,167,3,13,2400,0,0,1,0,113,14,88,29,10,12,46,694,108,586,0,0,1,0,0.113,
21,17,199,9,28,1084,0,0,0,0,64,18,0,14,2,0,10,166,34,132,0,0,0,0,0.126,
