coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,1,2,1,1,179,0,0,1,0,15,1,87,45,2,9,2,24,2,22,0,0,1,0,0.143,0.142857143
0,1,17,1,1,300,0,0,1,0,45,1,88,105,19,9,0,76,30,46,0,0,1,0,0,0
0,2,27,0,2,71,1,0,1,0,5,1,76,21,10,1,0,31,23,8,1,0,1,0,0,0
0,2,9,0,3,574,0,0,1,0,27,3,94,179,24,10,2,131,99,32,0,0,1,0,0.029,0.02962963
0,3,23,0,4,233,0,0,1,0,32,2,86,75,2,18,2,47,4,43,0,0,1,0,0.118,0.078431373
0,1,4,1,1,343,0,0,1,0,30,2,89,126,1,20,23,168,1,167,0,0,1,0,0.213,0.214953271
0,1,6,0,2,315,1,0,1,0,35,1,90,71,20,23,9,190,42,148,1,0,1,0,0.041,0.086538462
0,2,5,0,2,79,0,0,1,0,21,2,87,15,8,14,0,65,9,56,0,0,1,0,0,0
0,2,5,0,2,89,0,0,1,0,21,1,71,20,3,9,0,28,3,25,0,0,1,0,0,0
0,1,5,2,2,1625,0,0,1,0,26,1,95,25,2,12,28,139,4,135,0,0,1,0,0.273,0.287179487
0,3,24,1,3,501,0,0,1,0,56,1,91,141,11,25,5,93,15,78,0,0,1,0,0.093,0.097087379
0,1,10,0,1,533,0,0,1,0,105,1,98,139,1,25,7,125,2,123,0,0,1,0,0.1,0.100719424
0,3,20,0,3,367,0,0,1,0,96,1,96,110,1,30,0,102,2,100,0,0,1,0,0,0
3,3,51,0,3,96,0,0,1,0,9,6,22,11,16,2,0,110,59,51,0,0,1,0,0,0
0,2,7,0,2,569,0,0,1,0,28,1,84,178,4,2,1,68,5,63,0,0,1,0,0.027,0.028571429
0,1,17,0,1,592,0,0,1,0,38,1,88,183,14,6,0,57,15,42,0,0,1,0,0,0
0,1,1,0,3,3074,0,0,1,0,105,1,94,560,4,33,6,162,9,153,0,0,1,0,0.067,0.068965517
0,1,10,0,1,74,0,0,1,0,12,2,58,23,11,6,0,31,15,16,0,0,1,0,0,0
0,2,23,0,2,1385,0,0,1,1,68,2,97,407,58,21,2,240,144,96,0,0,1,1,0.016,0.016393443
0,1,1,1,1,174,0,0,1,0,34,1,83,34,3,23,8,70,3,67,0,0,1,0,0.198,0.186046512
2,9,56,6,11,8216,0,0,1,1,361,7,97,902,58,66,30,623,135,488,0,0,1,1,0.082,0.087847731
0,4,27,1,6,2300,0,0,1,1,179,6,95,190,43,60,11,553,268,285,0,0,1,1,0.038,0.03826087
5,5,18,1,8,549,0,0,1,1,62,11,66,51,66,71,46,1178,302,876,0,0,1,1,0.079,0.072440945
0,1,10,0,1,352,0,0,1,0,14,1,89,111,9,20,2,102,22,80,0,0,1,0,0.038,0.037735849
0,1,1,0,1,69,0,0,1,0,11,2,91,19,4,16,5,44,4,40,0,0,1,0,0.182,0.185185185
0,3,16,3,3,577,0,0,1,0,58,2,78,98,19,30,2,179,54,125,0,0,1,0,0.021,0.021857923
0,1,17,0,1,282,1,0,1,0,36,1,78,87,4,23,0,67,4,63,1,0,1,0,0,0
