coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,2,14,0,3,415,0,0,1,0,44,1,74,106,2,26,2,181,8,173,0,0,1,1,0.152,
0,3,19,0,4,373,0,0,1,1,9,1,66,102,9,30,6,181,21,160,0,0,1,0,0.062,
0,5,56,0,6,172,0,0,1,1,15,2,65,43,4,32,13,205,11,194,0,0,1,1,0.212,
0,1,13,0,1,62,0,0,1,0,13,2,88,16,24,21,1,192,65,127,0,0,1,0,0.01,
0,2,22,0,3,80,0,0,1,0,26,1,90,21,1,14,0,35,1,34,0,0,1,0,0,
0,2,25,0,3,164,1,0,1,0,10,1,31,48,2,3,0,19,2,17,1,0,1,0,0,
0,1,17,0,1,37,0,0,0,0,13,4,0,6,1,5,0,17,1,16,0,0,0,0,0,
1,9,55,4,21,2372,0,0,1,1,185,7,91,103,27,38,21,604,152,452,0,0,1,1,0.128,
0,1,9,0,1,268,0,0,0,0,83,1,96,84,0,21,0,89,2,87,0,0,1,0,0,
0,1,13,0,1,28,0,0,1,1,5,2,57,9,52,30,21,867,303,564,0,0,1,1,0.046,
4,5,19,0,6,669,0,0,1,1,88,8,75,24,37,41,17,924,227,697,0,0,1,1,0.127,
0,1,9,2,1,436,0,0,1,0,19,2,85,19,2,16,19,139,6,133,0,0,1,1,0.152,
0,1,9,1,1,197,0,0,1,0,22,1,66,43,15,23,9,207,50,157,0,0,1,0,0.044,
0,3,14,0,4,1229,0,0,0,0,70,1,95,223,0,13,4,94,0,94,0,0,0,0,0.078,
0,1,2,3,1,372,0,0,1,0,40,2,89,59,2,18,4,82,3,79,0,0,1,0,0.113,
0,2,30,1,4,93,0,0,1,0,18,1,66,11,2,14,8,51,2,49,0,0,1,0,0.239,
0,4,13,0,4,414,0,0,1,1,19,1,98,53,40,2,51,340,92,248,0,0,1,1,0.23,
0,3,26,1,5,212,0,0,1,0,35,2,89,66,3,8,0,62,4,58,0,0,1,0,0,
0,1,9,0,1,263,1,0,1,0,29,1,74,74,2,16,0,51,2,49,1,0,1,0,0,
0,2,2,0,3,602,0,0,1,0,36,2,68,200,2,16,0,44,2,42,0,0,1,0,0,
0,1,4,0,1,464,0,0,1,0,21,1,68,152,2,1,1,54,4,50,0,0,1,0,0.036,
0,1,13,3,6,2886,0,0,1,0,100,1,94,523,3,18,4,114,8,106,0,0,1,0,0.066,
1,4,27,0,5,340,0,0,1,0,48,3,93,98,12,22,0,101,17,84,0,0,1,1,0.13,
0,1,3,0,2,88,0,0,1,0,9,3,79,35,17,10,0,92,37,55,0,0,1,0,0,
0,10,35,0,14,2345,0,0,1,1,215,8,96,184,51,45,28,708,405,303,0,0,1,1,0.212,
