coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
6,10,115,3,12,2109,0,0,1,1,188,6,88,107,20,6,122,1365,808,557,0,0,1,1,0.155,
2,5,25,0,5,441,0,0,0,1,22,3,98,53,32,1,28,948,537,411,0,0,0,1,0.056,
10,11,129,3,11,1462,0,0,1,1,221,23,75,24,2,13,392,939,94,845,0,0,1,1,0.455,
3,7,22,1,10,2100,0,0,1,1,228,9,62,21,8,16,238,1356,491,865,0,0,1,1,0.26,
0,1,15,2,2,623,0,0,1,0,39,3,94,127,8,11,4,178,70,108,0,0,1,0,0.043,
0,2,15,6,2,1107,0,0,0,0,40,2,96,272,0,6,2,92,6,86,0,0,0,0,0.042,
5,7,83,0,10,1166,0,0,1,1,69,6,98,236,18,11,12,328,155,173,0,0,1,1,0.068,
5,7,106,4,16,3440,0,0,1,0,197,5,0,7,11,9,34,654,118,536,0,0,1,0,0.094,
16,11,138,12,27,6514,0,0,1,1,321,11,66,102,19,13,390,1728,539,1189,0,0,1,1,0.311,
0,4,28,3,4,472,0,0,1,1,64,3,56,15,7,20,71,941,232,709,0,0,1,1,0.131,
0,2,12,0,2,528,0,0,0,0,31,2,68,152,3,3,20,258,53,205,0,0,0,0,0.134,
27,31,334,7,42,5411,0,0,0,1,484,19,81,228,1,14,197,1356,65,1291,0,0,0,1,0.224,
12,14,154,2,19,2018,0,0,0,1,193,15,65,43,0,14,79,595,14,581,0,0,0,1,0.21,
2,6,69,0,8,1403,0,0,1,0,136,8,70,20,4,12,65,362,43,319,0,0,1,0,0.264,
0,2,6,0,2,245,0,0,0,0,32,2,71,20,6,3,33,413,54,359,0,0,0,0,0.138,
5,7,34,1,9,2966,0,0,1,0,208,12,96,184,8,11,136,949,527,422,0,0,1,0,0.222,
27,13,95,22,40,7736,0,0,1,0,388,18,86,116,7,12,116,1578,667,911,0,0,1,0,0.128,
14,11,158,1,15,1298,0,0,0,1,135,22,64,23,20,3,52,478,198,280,0,0,0,1,0.179,
7,12,119,5,14,4910,0,0,1,1,293,9,97,376,19,11,137,1218,565,653,0,0,1,1,0.184,
1,1,14,1,1,65,0,0,1,0,13,1,93,6,7,6,284,740,204,536,0,0,1,0,0.434,
7,8,88,0,10,683,0,0,1,1,98,17,88,113,20,6,126,1377,810,567,0,0,1,1,0.158,
0,1,25,0,1,69,0,0,0,1,2,1,76,20,32,1,28,953,539,414,0,0,0,1,0.052,
2,2,36,0,2,671,0,0,1,1,55,5,89,158,2,13,392,939,94,845,0,0,1,1,0.471,
2,2,14,0,3,1387,0,0,1,1,67,3,87,317,8,16,238,1356,491,865,0,0,1,1,0.257,
0,1,3,3,2,623,0,0,1,0,39,3,94,127,8,11,4,178,70,108,0,0,1,1,0.05,
2,4,18,8,6,1196,0,0,0,0,47,8,75,21,0,6,2,92,6,86,0,0,0,0,0.059,
0,1,5,3,1,59,0,0,1,1,0,1,87,16,18,11,12,329,156,173,0,0,1,1,0.122,
5,6,106,1,6,3313,0,0,1,0,153,3,74,74,11,9,34,655,118,537,0,0,1,1,0.109,
25,25,391,1,42,9931,0,0,1,1,528,28,98,172,19,13,390,1728,539,1189,0,0,1,1,0.305,
8,11,174,8,19,2493,0,0,1,1,298,16,88,61,7,20,71,941,232,709,0,0,1,1,0.141,
6,12,140,3,16,2793,0,0,0,1,306,10,82,21,1,14,197,1363,65,1298,0,0,0,1,0.22,
0,1,3,0,1,63,0,0,0,0,17,2,70,8,1,7,1,55,1,54,0,0,1,0,0.038,
2,2,14,0,2,898,0,0,1,0,49,4,96,184,8,11,136,954,527,427,0,0,1,1,0.219,
31,20,191,11,37,8560,0,0,1,0,504,29,86,116,7,12,116,1582,667,915,0,0,1,1,0.13,
0,1,25,0,2,625,0,0,0,1,72,1,94,167,20,3,52,478,198,280,0,0,0,1,0.174,
3,4,39,0,5,536,0,0,1,0,33,3,88,134,7,8,72,363,77,286,0,0,1,0,0.298,
6,9,65,2,10,2905,0,0,1,1,170,5,78,20,19,11,137,1215,565,650,0,0,1,1,0.184,
0,2,32,1,3,1207,0,0,1,0,58,6,90,88,4,12,84,1434,104,1330,0,0,1,1,0.114,
0,4,10,0,7,565,0,0,0,1,39,3,33,1,34,0,28,1031,618,413,0,0,0,1,0.051,
2,5,26,1,6,2806,0,0,1,1,290,4,91,268,8,16,239,1382,548,834,0,0,1,1,0.254,
1,1,10,0,2,594,0,0,1,1,41,3,94,127,9,11,5,192,85,107,0,0,1,1,0.062,
