coChangedSamePackage,coChangedDifferentPackage,NumCochangedFiles,BugCountMult,numberOfCommits,LOC,BCO,SPF,BDC,BUO,CountClassCoupled,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,incomingDep,outgoingDep,internalEdges,externalEdges,edgesInto,edgesOutOf,BCOnextRelease,SPFnextRelease,BDCnextRelease,BUOnextRelease,MQnextRelease,MQ
0,1,3,0,1,38,0,0,0,0,1,1,50,13,3,2,7,52,18,34,0,0,0,0,0.212,0.212121212
2,5,33,2,8,3659,0,0,1,1,318,9,88,338,8,17,248,1531,628,903,0,0,1,1,0.243,0.244696596
4,6,50,2,9,5323,0,0,1,1,306,6,78,87,14,9,46,778,164,614,0,0,1,1,0.106,0.105747126
0,1,2,0,1,104,0,0,0,0,18,3,79,22,0,7,0,80,5,75,0,0,0,0,0,0
9,8,42,2,15,1032,0,0,1,1,126,16,66,51,5,12,77,464,63,401,0,0,1,1,0.249,0.249190939
9,13,90,2,14,1888,0,0,1,1,251,17,62,13,2,14,490,1261,130,1131,0,0,1,1,0.44,0.437304775
2,2,6,0,2,129,0,0,0,1,33,4,85,15,1,9,26,131,20,111,0,0,0,0,0.267,0.284153005
1,2,5,0,2,1458,0,0,1,1,73,3,98,302,25,14,38,509,218,291,0,0,1,1,0.128,0.12991453
0,1,3,0,1,368,0,0,0,1,38,4,90,95,1,16,20,298,15,283,0,0,0,1,0.118,0.118343195
0,1,7,0,2,315,0,0,0,1,35,1,90,71,26,3,53,543,264,279,0,0,0,1,0.161,0.163328197
7,7,33,4,7,903,0,0,1,1,156,22,81,59,4,14,108,1768,126,1642,0,0,1,1,0.111,0.108870968
0,4,20,1,6,841,0,0,0,1,52,3,88,30,40,0,30,1222,746,476,0,0,0,1,0.047,0.046801872
0,2,4,2,2,704,0,0,1,1,44,3,95,147,10,13,5,207,91,116,0,0,1,1,0.045,0.046082949
18,18,156,10,23,11592,0,0,1,1,569,18,98,173,24,13,440,2146,785,1361,0,0,1,1,0.288,0.290812954
2,12,45,9,14,2691,0,0,1,1,302,11,91,203,8,24,100,1286,309,977,0,0,1,1,0.132,0.134589502
6,9,36,3,11,2860,0,0,1,1,175,14,97,222,10,14,138,1054,609,445,0,0,1,1,0.202,0.207518797
14,18,95,18,34,10643,0,0,1,1,542,17,88,136,9,16,130,1983,896,1087,0,0,1,1,0.118,0.115916184
7,10,115,2,10,1130,0,0,1,1,96,11,91,141,27,6,138,1519,955,564,0,0,1,1,0.16,0.153760446
2,3,44,4,5,1758,0,0,1,0,72,8,83,23,3,7,4,113,10,103,0,0,1,0,0.066,0.066115702
10,5,33,4,14,4008,0,0,0,0,145,8,78,98,5,3,20,336,63,273,0,0,0,0,0.101,0.106382979
2,6,32,8,8,4007,0,0,1,1,300,9,94,82,6,20,224,1747,101,1646,0,0,1,1,0.204,0.204100228
0,1,10,0,4,1627,0,0,0,1,115,2,86,427,0,16,113,759,15,744,0,0,0,1,0.229,0.229441624
0,1,7,0,1,390,0,0,0,0,43,2,93,121,6,3,34,403,56,347,0,0,0,0,0.144,0.144373673
3,3,9,0,3,1031,0,0,1,0,36,7,92,93,8,5,15,213,142,71,0,0,1,0,0.121,0.12345679
6,8,59,4,10,5354,0,0,1,1,275,8,97,407,25,11,147,1406,740,666,0,0,1,1,0.168,0.172941176
1,1,10,0,1,533,0,0,1,1,105,1,98,139,11,7,336,1058,531,527,0,0,1,1,0.387,0.388439306
