Models,AUC,Smell
N,0.989251122135601,ARC-CO
L,0.982282069454287,ARC-CO
F,0.990550437042287,ARC-CO
N,0.98780487804878,ARC-DC
L,0.98780487804878,ARC-DC
F,0.990391722099039,ARC-DC
N,0.871892119679729,ARC-LO
L,0.914032869785082,ARC-LO
F,0.902233459755584,ARC-LO
N,1,ARC-SF
L,1,ARC-SF
F,1,ARC-SF
N,0.977911993097498,ARC-CO
L,0.961518550474547,ARC-CO
F,0.979982743744607,ARC-CO
N,0.964975845410628,ARC-DC
L,0.958937198067633,ARC-DC
F,0.949074074074074,ARC-DC
N,0.898059964726631,ARC-LO
L,0.908641975308642,ARC-LO
F,0.909700176366842,ARC-LO
N,0.996774193548387,ARC-SF
L,0.996774193548387,ARC-SF
F,0.993548387096774,ARC-SF
N,0.964861751152074,ARC-CO
L,0.960637480798771,ARC-CO
F,0.972926267281106,ARC-CO
N,0.929601990049751,ARC-DC
L,0.937810945273632,ARC-DC
F,0.981094527363184,ARC-DC
N,0.78875968992248,ARC-LO
L,0.810077519379845,ARC-LO
F,0.736627906976745,ARC-LO
N,1,ARC-SF
L,1,ARC-SF
F,1,ARC-SF
N,0.985294117647059,Pkg-DC
L,0.994619799139168,Pkg-DC
F,0.999282639885222,Pkg-DC
N,0.992109038737446,Pkg-LO
L,0.982065997130559,Pkg-LO
F,0.989956958393113,Pkg-LO
N,1,Pkg-DC
L,1,Pkg-DC
F,1,Pkg-DC
N,1,Pkg-LO
L,1,Pkg-LO
F,1,Pkg-LO
N,1,Pkg-DC
L,1,Pkg-DC
F,1,Pkg-DC
N,0.972519310754605,Pkg-LO
L,0.947118241235889,Pkg-LO
F,0.968062982768865,Pkg-LO
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,0.653846153846154,ARC-DC
L,0.653846153846154,ARC-DC
F,0.875,ARC-DC
N,0.856459330143541,ARC-LO
L,0.875598086124402,ARC-LO
F,0.789473684210526,ARC-LO
N,0.92822966507177,ARC-SF
L,0.947368421052631,ARC-SF
F,0.909090909090909,ARC-SF
N,0.988888888888889,ARC-CO
L,0.993333333333333,ARC-CO
F,1,ARC-CO
N,0.943396226415094,ARC-DC
L,0.981132075471698,ARC-DC
F,1,ARC-DC
N,0.895470383275262,ARC-LO
L,0.902439024390244,ARC-LO
F,1,ARC-LO
N,0.956521739130435,ARC-SF
L,0.982336956521739,ARC-SF
F,1,ARC-SF
N,0.961538461538462,Pkg-DC
L,1,Pkg-DC
F,1,Pkg-DC
N,0.95,Pkg-LO
L,1,Pkg-LO
F,1,Pkg-LO
N,1,Pkg-DC
L,1,Pkg-DC
F,1,Pkg-DC
N,1,Pkg-LO
L,0.978260869565217,Pkg-LO
F,1,Pkg-LO
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,0.952380952380952,ARC-DC
L,0.979591836734694,ARC-DC
F,0.972789115646258,ARC-DC
N,0.826666666666667,ARC-LO
L,0.76,ARC-LO
F,0.933333333333333,ARC-LO
N,1,ARC-SF
L,1,ARC-SF
F,1,ARC-SF
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,1,ARC-DC
L,1,ARC-DC
F,1,ARC-DC
N,0.983333333333333,ARC-LO
L,0.991666666666667,ARC-LO
F,0.966666666666667,ARC-LO
N,0.866666666666667,ARC-SF
L,0.985714285714286,ARC-SF
