Models,AUC,Smell
N,0.989251122135601,ARC-CO
L,0.982282069454287,ARC-CO
F,0.989605480746516,ARC-CO
N,0.98780487804878,ARC-DC
L,0.98780487804878,ARC-DC
F,0.990391722099039,ARC-DC
N,0.871892119679729,ARC-LO
L,0.914032869785082,ARC-LO
F,0.887062789717657,ARC-LO
N,1,ARC-SF
L,1,ARC-SF
F,1,ARC-SF
N,0.977911993097498,ARC-CO
L,0.961173425366695,ARC-CO
F,0.980155306298533,ARC-CO
N,0.964975845410628,ARC-DC
L,0.964975845410628,ARC-DC
F,0.949476650563607,ARC-DC
N,0.902292768959435,ARC-LO
L,0.907231040564374,ARC-LO
F,0.906878306878306,ARC-LO
N,0.996774193548387,ARC-SF
L,0.996774193548387,ARC-SF
F,0.993548387096774,ARC-SF
N,0.964861751152074,ARC-CO
L,0.969278033794163,ARC-CO
F,0.969470046082949,ARC-CO
N,0.929601990049751,ARC-DC
L,0.929601990049751,ARC-DC
F,0.970646766169154,ARC-DC
N,0.782170542635658,ARC-LO
L,0.828682170542635,ARC-LO
F,0.753488372093023,ARC-LO
N,1,ARC-SF
L,1,ARC-SF
F,1,ARC-SF
N,0.985294117647059,Pkg-DC
L,0.985294117647059,Pkg-DC
F,0.999282639885222,Pkg-DC
N,0.904591104734577,Pkg-LO
L,0.994261119081779,Pkg-LO
F,0.989239598278336,Pkg-LO
N,1,Pkg-DC
L,1,Pkg-DC
F,1,Pkg-DC
N,0.901587301587302,Pkg-LO
L,1,Pkg-LO
F,1,Pkg-LO
N,1,Pkg-DC
L,1,Pkg-DC
F,1,Pkg-DC
N,0.901663695781343,Pkg-LO
L,0.924539512774808,Pkg-LO
F,0.966726084373143,Pkg-LO
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,0.653846153846154,ARC-DC
L,0.653846153846154,ARC-DC
F,0.875,ARC-DC
N,0.799043062200957,ARC-LO
L,0.813397129186603,ARC-LO
F,0.818181818181818,ARC-LO
N,0.92822966507177,ARC-SF
L,0.92822966507177,ARC-SF
F,0.909090909090909,ARC-SF
N,0.993333333333333,ARC-CO
L,0.997777777777778,ARC-CO
F,1,ARC-CO
N,0.943396226415094,ARC-DC
L,0.943396226415094,ARC-DC
F,1,ARC-DC
N,0.867595818815331,ARC-LO
L,0.907665505226481,ARC-LO
F,1,ARC-LO
N,0.956521739130435,ARC-SF
L,0.956521739130435,ARC-SF
F,1,ARC-SF
N,0.961538461538462,Pkg-DC
L,0.961538461538462,Pkg-DC
F,1,Pkg-DC
N,0.966666666666667,Pkg-LO
L,0.983333333333333,Pkg-LO
F,1,Pkg-LO
N,1,Pkg-DC
L,1,Pkg-DC
F,1,Pkg-DC
N,0.934782608695652,Pkg-LO
L,1,Pkg-LO
F,1,Pkg-LO
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,0.952380952380952,ARC-DC
L,0.952380952380952,ARC-DC
F,0.972789115646258,ARC-DC
N,0.72,ARC-LO
L,0.96,ARC-LO
F,0.92,ARC-LO
N,0.944444444444444,ARC-SF
L,0.944444444444444,ARC-SF
F,1,ARC-SF
N,1,ARC-CO
L,1,ARC-CO
F,1,ARC-CO
N,1,ARC-DC
L,1,ARC-DC
F,1,ARC-DC
N,0.875,ARC-LO
L,0.966666666666667,ARC-LO
F,0.958333333333333,ARC-LO
N,0.866666666666667,ARC-SF
