Models,AUC,Recovery
F,0.740740741,ARC-CF
F,0.827731092,ARC-CF
F,0.865384615,ARC-CF
F,0.877380952,ARC-CF
F,0.888888889,ARC-CF
F,0.901851852,ARC-CF
F,0.918461097,ARC-CF
F,0.954656863,ARC-CF
F,0.968064516,ARC-CF
F,0.977192982,ARC-CF
F,0.995169082,ARC-CF
F,1,ARC-CF
F,0.708333333,PKG-CF
F,0.770833333,PKG-CF
F,0.8375,PKG-CF
F,0.954545455,PKG-CF
F,0.965517241,PKG-CF
F,0.988843813,PKG-CF
F,0.990391722,PKG-CF
F,1,PKG-CF
F,1,PKG-CF
F,1,PKG-CF
F,1,PKG-CF
F,1,PKG-CF
L,0.357142857,ARC-CF
L,0.456790123,ARC-CF
L,0.632850242,ARC-CF
L,0.65952381,ARC-CF
L,0.707407407,ARC-CF
L,0.722222222,ARC-CF
L,0.735576923,ARC-CF
L,0.80483871,ARC-CF
L,0.813379271,ARC-CF
L,0.814473684,ARC-CF
L,0.886029412,ARC-CF
L,0.954081633,ARC-CF
L,0.520833333,PKG-CF
L,0.652777778,PKG-CF
L,0.875,PKG-CF
L,0.887657058,PKG-CF
L,0.901515152,PKG-CF
L,0.911764706,PKG-CF
L,0.928571429,PKG-CF
L,0.94047619,PKG-CF
L,0.95625,PKG-CF
L,0.956521739,PKG-CF
L,0.965277778,PKG-CF
L,0.988505747,PKG-CF
N,0.701680672,ARC-CF
N,0.790123457,ARC-CF
N,0.790740741,ARC-CF
N,0.829710145,ARC-CF
N,0.835119048,ARC-CF
N,0.851995406,ARC-CF
N,0.855769231,ARC-CF
N,0.905555556,ARC-CF
N,0.923064516,ARC-CF
N,0.955263158,ARC-CF
N,0.958333333,ARC-CF
N,0.994897959,ARC-CF
N,0.541666667,PKG-CF
N,0.597222222,PKG-CF
N,0.729166667,PKG-CF
N,0.86875,PKG-CF
N,0.875831486,PKG-CF
N,0.882352941,PKG-CF
N,0.901622718,PKG-CF
N,0.931818182,PKG-CF
N,0.94047619,PKG-CF
N,0.956521739,PKG-CF
N,0.965517241,PKG-CF
N,0.986111111,PKG-CF
