Models,Spearman,Recovery
F,0.352155723182684,ARC
F,0.38886195104375,ARC
F,0.410263215084746,ARC
F,0.442605166046301,ARC
F,0.494308995159086,ARC
F,0.513601764235676,ARC
F,0.533333892334998,ARC
F,0.542797793855225,ARC
F,0.589864598474465,ARC
F,0.590379528732013,ARC
F,0.593951847251614,ARC
F,0.833814966301462,ARC
L,0.0365421863439566,ARC
L,0.289782235192766,ARC
L,0.445480969182868,ARC
L,0.479334667645086,ARC
L,0.492838703823789,ARC
L,0.496922980035624,ARC
L,0.502602552559232,ARC
L,0.526172043322891,ARC
L,0.530013646226114,ARC
L,0.530588134022065,ARC
L,0.711378845987492,ARC
L,0.738825919850687,ARC
N,0.215755681086926,ARC
N,0.431768351965446,ARC
N,0.446729440191815,ARC
N,0.482568545116501,ARC
N,0.50185537661054,ARC
N,0.554514677273113,ARC
N,0.560901372978035,ARC
N,0.626380898049438,ARC
N,0.641471381238771,ARC
N,0.665879987694857,ARC
N,0.666160558405699,ARC
N,0.822820702436534,ARC
F,0.3838342547177,Packages
F,0.572144785493409,Packages
F,0.575000728341269,Packages
F,0.610852351294906,Packages
F,0.613793419469388,Packages
F,0.636355784878777,Packages
F,0.667000625481622,Packages
F,0.697000097023791,Packages
F,0.777654884264219,Packages
F,0.808743248644048,Packages
F,0.852718958250288,Packages
F,0.890320534362482,Packages
L,0.419875029808564,Packages
L,0.456209312956111,Packages
L,0.540684244573092,Packages
L,0.544512081419204,Packages
L,0.553435354951991,Packages
L,0.604174392630906,Packages
L,0.6148783441262,Packages
L,0.639395678650396,Packages
L,0.724803617728591,Packages
L,0.731003351641945,Packages
L,0.785071716732166,Packages
L,0.8760325418351,Packages
N,0.396448525999503,Packages
N,0.582854518624454,Packages
N,0.601170936991949,Packages
N,0.615326562713862,Packages
N,0.621588148114366,Packages
N,0.63507253722897,Packages
N,0.693167079772691,Packages
N,0.764860848257011,Packages
N,0.776137224906291,Packages
N,0.800423558130779,Packages
N,0.846331550323319,Packages
N,0.923361517082053,Packages
