Projects,Smells,Recovery
Cam,107,ARC
Cam,159,ARC
Cam,132,ARC
Cam,212,ARC
Cam,150,ARC
Cam,184,ARC
Cam,187,ARC
Cam,212,ARC
Cam,206,ARC
Cas,30,ARC
Cas,39,ARC
Cas,40,ARC
Cas,57,ARC
Cas,41,ARC
Cas,86,ARC
Op,53,ARC
Op,47,ARC
Op,50,ARC
Op,54,ARC
Op,99,ARC
Op,73,ARC
Hb,24,ARC
Hb,16,ARC
Hb,34,ARC
Hb,43,ARC
Hb,26,ARC
Hb,29,ARC
Hb,45,ARC
Hb,38,ARC
Hb,37,ARC
Hb,50,ARC
Hb,86,ARC
Hi,52,ARC
Hi,84,ARC
Hi,58,ARC
Hi,69,ARC
Hi,58,ARC
Hi,76,ARC
Cam,33,Packages
Cam,37,Packages
Cam,45,Packages
Cam,58,Packages
Cam,44,Packages
Cam,59,Packages
Cam,63,Packages
Cam,64,Packages
Cam,78,Packages
Cas,15,Packages
Cas,15,Packages
Cas,13,Packages
Cas,21,Packages
Cas,17,Packages
Cas,26,Packages
Op,24,Packages
Op,23,Packages
Op,29,Packages
Op,29,Packages
Op,40,Packages
Op,37,Packages
Hb,9,Packages
Hb,3,Packages
Hb,5,Packages
Hb,13,Packages
Hb,15,Packages
Hb,15,Packages
Hb,15,Packages
Hb,15,Packages
Hb,23,Packages
Hb,22,Packages
Hb,30,Packages
Hi,19,Packages
Hi,22,Packages
Hi,26,Packages
Hi,32,Packages
Hi,26,Packages
Hi,36,Packages
