Kind,Name,CountClassCoupled,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Package,"$",,0,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/AlreadyStoppedException.java",,6,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/BatchConsumer.java",,6,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Body.java",,11,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/CamelContext.java",,76,,,53
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/CamelContextAware.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/CamelException.java",,14,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/CamelExchangeException.java",,19,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/CamelExecutionException.java",,9,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Channel.java",,19,,,12
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Component.java",,6,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Consume.java",,14,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Consumer.java",,3,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ConsumerTemplate.java",,21,,,18
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Converter.java",,11,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Endpoint.java",,16,,,12
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/EndpointInject.java",,14,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Exchange.java",,96,,,35
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ExchangeException.java",,11,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ExchangePattern.java",,79,,,23
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ExchangeTimedOutException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ExpectedBodyTypeException.java",,17,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/Expression.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ExpressionEvaluationException.java",,17,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/ExpressionIllegalSyntaxException.java",,14,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/FailedToCreateConsumerException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/FailedToCreateProducerException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.0-M3-src/apache-camel-2.0-M3/src/camel-core/src/main/java/org/apache/camel/FallbackConverter.java",,11,,,0
