Kind,Name,CountClassCoupled,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Package,"$",,0,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/AlreadyStoppedException.java",,7,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/AsyncCallback.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/AsyncProcessor.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/BatchConsumer.java",,7,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/Body.java",,11,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/CamelContext.java",,109,,,76
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/CamelContextAware.java",,5,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/CamelException.java",,15,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/CamelExchangeException.java",,17,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/CamelExecutionException.java",,10,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/Channel.java",,20,,,13
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/Component.java",,6,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/Consume.java",,14,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Camel/apache-camel-2.2.0-src/apache-camel-2.2.0/camel-core/src/main/java/org/apache/camel/Consumer.java",,4,,,1
