Kind,Name,CountClassCoupled,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
Package,"(Unnamed_Package)",,114,,,17
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/contrib/bmt_example/CassandraBulkLoader.java",,185,,,20
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/contrib/circuit/src/org/apache/cassandra/contrib/circuit/AboutDialog.java",,55,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/contrib/circuit/src/org/apache/cassandra/contrib/circuit/CircuitFrame.java",,188,,,22
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/contrib/circuit/src/org/apache/cassandra/contrib/circuit/RingModel.java",,167,,,27
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/contrib/circuit/src/org/apache/cassandra/contrib/circuit/RingPanel.java",,122,,,15
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/contrib/client_only/ClientOnlyExample.java",,114,,,17
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/contrib/property_snitch/src/java/org/apache/cassandra/locator/PropertyFileEndPointSnitch.java",,105,,,17
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/contrib/property_snitch/src/java/org/apache/cassandra/locator/PropertyFileEndPointSnitchMBean.java",,7,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/Cassandra.java",,11222,,,2794
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/Column.java",,358,,,91
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/ColumnOrSuperColumn.java",,275,,,67
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/ColumnParent.java",,278,,,70
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/ColumnPath.java",,363,,,97
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/ConsistencyLevel.java",,30,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/Constants.java",,15,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/InvalidRequestException.java",,193,,,43
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/KeySlice.java",,306,,,74
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/NotFoundException.java",,112,,,21
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/SlicePredicate.java",,310,,,76
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/SliceRange.java",,432,,,109
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/SuperColumn.java",,312,,,78
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/TimedOutException.java",,112,,,21
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/interface/gen-java/org/apache/cassandra/service/UnavailableException.java",,112,,,21
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/cli/CliClient.java",,355,,,60
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/cli/CliCompiler.java",,67,,,11
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/cli/CliCompleter.java",,30,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/cli/CliMain.java",,119,,,19
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/cli/CliOptions.java",,56,,,6
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/cli/CliSessionState.java",,17,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/cli/CliUtils.java",,37,,,14
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/client/RingCache.java",,74,,,8
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/concurrent/AIOExecutorService.java",,78,,,14
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/concurrent/Context.java",,23,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor.java",,118,,,20
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/Cassandra/apache-cassandra-0.5.1-src/src/java/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutorMBean.java",,3,,,0
