Kind,Name,CountClassCoupled,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/examples/thrift/DemoClient.java",,210,,,27
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/BloomFilterDescriptor.java",,111,,,25
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/ChangedReadersObserver.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/Chore.java",,44,,,9
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/DroppedSnapshotException.java",,10,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/FileSystemVersionException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/FlushRequester.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HAbstractScanner.java",,114,,,24
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HBaseAdmin.java",,357,,,84
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HBaseConfiguration.java",,19,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HColumnDescriptor.java",,186,,,40
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HConnection.java",,17,,,8
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HConnectionManager.java",,503,,,100
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HConstants.java",,41,,,0
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HInternalScannerInterface.java",,4,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HLog.java",,414,,,75
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HLogEdit.java",,68,,,12
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HLogKey.java",,71,,,16
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HMaster.java",,2275,,,451
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HMasterInterface.java",,19,,,10
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HMasterRegionInterface.java",,10,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HMerge.java",,328,,,53
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HMsg.java",,95,,,21
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HRegion.java",,1241,,,246
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HRegionInfo.java",,189,,,37
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HRegionInterface.java",,41,,,15
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HRegionLocation.java",,38,,,8
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HRegionServer.java",,1333,,,247
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HScannerInterface.java",,13,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HServerAddress.java",,87,,,18
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HServerInfo.java",,86,,,18
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HServerLoad.java",,54,,,14
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HStore.java",,1864,,,387
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HStoreFile.java",,505,,,100
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HStoreKey.java",,158,,,38
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HTable.java",,571,,,119
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/HTableDescriptor.java",,145,,,29
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/InvalidColumnNameException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/LeaseListener.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/Leases.java",,236,,,42
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/LocalHBaseCluster.java",,179,,,40
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/LockException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/LogRollListener.java",,4,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/MasterNotRunningException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/NoServerForRegionException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/NotServingRegionException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/RegionServerRunningException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/RegionUnavailableListener.java",,6,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/RemoteExceptionHandler.java",,45,,,11
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/Shell.java",,88,,,21
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/TableExistsException.java",,10,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/TableNotDisabledException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/TableNotFoundException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/UnknownScannerException.java",,10,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/VersionAnnotation.java",,11,,,5
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/WrongRegionException.java",,10,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/filter/InclusiveStopRowFilter.java",,23,,,6
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/filter/InvalidRowFilterException.java",,9,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/filter/PageRowFilter.java",,62,,,15
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/filter/RegExpRowFilter.java",,216,,,54
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/filter/RowFilterInterface.java",,13,,,8
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/filter/RowFilterSet.java",,238,,,69
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/filter/StopRowFilter.java",,63,,,16
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/filter/WhileMatchRowFilter.java",,100,,,23
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/AlterCommand.java",,164,,,36
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/BasicCommand.java",,47,,,12
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/ClearCommand.java",,38,,,8
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/Command.java",,10,,,4
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/CommandFactory.java",,3,,,1
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/CreateCommand.java",,50,,,8
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/DeleteCommand.java",,85,,,17
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/DescCommand.java",,58,,,11
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/DisableCommand.java",,36,,,6
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/DropCommand.java",,48,,,9
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/EnableCommand.java",,36,,,6
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/ExitCommand.java",,18,,,3
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/ExitException.java",,11,,,2
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/FsCommand.java",,33,,,6
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/HQLClient.java",,35,,,5
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/HQLSecurityManager.java",,27,,,6
File,"/Users/Ehsan/Workspace/UndrestandC++Projects/HBase/hbase-0.1.3/src/java/org/apache/hadoop/hbase/hql/HelpCommand.java",,127,,,13
